block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,5027.009,134.495,2.8407,3.7538,1.13e-07,6.17e-09,120.94,102.2,97.93,270.0,3.2
1.1,5028.065,135.608,2.8501,3.7538,1.12e-07,6.12e-09,120.94,102.2,97.93,270.0,3.2
2.1,5029.102,135.335,2.8369,3.7538,1.13e-07,6.06e-09,120.94,102.2,97.93,270.01,3.2
3.1,5030.146,134.472,2.8407,3.6912,1.13e-07,6.1e-09,120.94,102.2,97.93,270.01,3.2
4.2,5031.187,135.738,2.8594,3.7225,1.13e-07,6.16e-09,120.96,102.2,97.93,270.0,3.2
5.2,5032.217,135.878,2.8275,3.7538,1.13e-07,6.06e-09,120.94,102.2,97.93,269.99,3.2
6.3,5033.278,135.705,2.8388,3.7225,1.13e-07,6.15e-09,120.93,102.19,97.93,269.99,3.2
7.3,5034.316,136.364,2.8444,3.7225,1.13e-07,6.18e-09,120.94,102.2,97.93,269.99,3.2
8.4,5035.374,136.28,2.8679,3.7225,1.13e-07,6.12e-09,120.94,102.2,97.93,270.0,3.2
9.4,5036.407,135.894,2.8332,3.7225,1.13e-07,6.07e-09,120.95,102.2,97.93,270.0,3.2
10.4,5037.457,136.245,2.8604,3.6912,1.13e-07,6.1e-09,120.96,102.2,97.93,270.0,3.2
11.5,5038.494,135.343,2.8623,3.7225,1.13e-07,6.17e-09,120.94,102.2,97.93,269.99,3.2
12.5,5039.525,136.647,2.866,3.7225,1.13e-07,6.16e-09,120.95,102.2,97.93,269.99,3.2
13.6,5040.576,136.196,2.8257,3.7225,1.13e-07,6.11e-09,120.94,102.2,97.93,270.0,3.2
14.6,5041.619,136.499,2.8332,3.7225,1.13e-07,6.08e-09,120.96,102.2,97.93,270.0,3.2
15.7,5042.67,136.465,2.8454,3.7538,1.13e-07,6.07e-09,120.96,102.2,97.93,270.0,3.2
16.7,5043.726,136.445,2.851,3.7538,1.12e-07,6.05e-09,120.96,102.19,97.93,270.0,3.2
17.8,5044.804,136.227,2.836,3.7225,1.13e-07,6.09e-09,120.96,102.2,97.93,269.99,3.2
18.9,5045.874,136.554,2.8463,3.7538,1.13e-07,6.14e-09,120.96,102.2,97.93,269.99,3.2
19.9,5046.947,137.811,2.8557,3.7225,1.13e-07,6.17e-09,120.96,102.19,97.93,270.0,3.2
21.0,5047.981,136.054,2.8435,3.7225,1.13e-07,6.1e-09,120.96,102.2,97.93,270.01,3.2
22.0,5049.018,137.008,2.8407,3.7225,1.13e-07,6.05e-09,120.97,102.2,97.93,270.0,3.2
23.1,5050.067,137.117,2.8482,3.6912,1.12e-07,6.09e-09,120.98,102.2,97.93,270.0,3.2
24.1,5051.105,136.417,2.8416,3.7225,1.12e-07,6.14e-09,120.98,102.2,97.93,270.0,3.2
25.1,5052.15,137.154,2.8463,3.7538,1.13e-07,6.19e-09,120.98,102.2,97.93,269.99,3.2
26.2,5053.191,137.533,2.8369,3.7538,1.12e-07,6.13e-09,120.98,102.2,97.93,270.0,3.2
27.2,5054.222,136.945,2.8332,3.7538,1.13e-07,6.18e-09,120.98,102.2,97.93,270.0,3.2
28.3,5055.286,138.303,2.8529,3.7538,1.13e-07,6.13e-09,120.98,102.2,97.93,270.0,3.2
29.3,5056.319,137.177,2.8425,3.7538,1.13e-07,6.05e-09,120.96,102.2,97.93,269.99,3.2
30.4,5057.375,139.201,2.8529,3.7538,1.13e-07,6.1e-09,120.98,102.2,97.93,270.0,3.2
31.4,5058.418,136.731,2.8632,3.7225,1.13e-07,6.12e-09,120.98,102.2,97.93,270.0,3.2
32.5,5059.469,136.794,2.8388,3.7538,1.13e-07,6.18e-09,120.99,102.2,97.93,270.0,3.2
33.5,5060.506,136.647,2.836,3.7225,1.13e-07,6.13e-09,120.98,102.2,97.93,269.99,3.2
34.5,5061.558,137.046,2.8238,3.7538,1.13e-07,6.05e-09,120.98,102.2,97.92,270.0,3.2
35.6,5062.591,135.3,2.8303,3.7538,1.12e-07,6.06e-09,120.98,102.2,97.93,270.0,3.2
36.6,5063.621,136.896,2.8257,3.7538,1.13e-07,6.11e-09,120.98,102.19,97.93,269.99,3.2
37.7,5064.678,137.734,2.8313,3.7225,1.12e-07,6.17e-09,120.98,102.2,97.93,270.0,3.2
38.7,5065.724,136.462,2.8594,3.7538,1.13e-07,6.15e-09,120.97,102.2,97.93,270.0,3.2
39.8,5066.795,136.557,2.8482,3.7538,1.13e-07,6.17e-09,120.97,102.2,97.93,270.0,3.2
40.9,5067.87,136.977,2.8472,3.7851,1.13e-07,6.11e-09,120.97,102.2,97.93,269.99,3.2
41.9,5068.931,135.398,2.835,3.7538,1.12e-07,6.03e-09,120.98,102.2,97.93,270.0,3.2
43.0,5069.978,136.817,2.8585,3.8163,1.13e-07,6.06e-09,120.97,102.2,97.93,270.0,3.2
44.0,5071.018,137.275,2.8444,3.7538,1.13e-07,6.14e-09,120.97,102.2,97.93,270.0,3.2
45.1,5072.071,136.643,2.8388,3.7851,1.12e-07,6.18e-09,120.96,102.2,97.93,270.0,3.2
46.1,5073.109,138.118,2.8266,3.7538,1.13e-07,6.13e-09,120.97,102.2,97.93,270.0,3.2
47.1,5074.158,137.781,2.8519,3.7851,1.12e-07,6.07e-09,120.98,102.2,97.93,269.99,3.2
48.2,5075.19,138.49,2.8303,3.7851,1.12e-07,6.09e-09,120.97,102.2,97.93,270.01,3.2
49.2,5076.23,135.824,2.8482,3.7538,1.12e-07,6.07e-09,120.98,102.2,97.93,269.99,3.2
50.3,5077.29,137.558,2.8435,3.7851,1.13e-07,6.08e-09,120.98,102.2,97.93,270.0,3.2
51.3,5078.327,137.601,2.8435,3.7225,1.12e-07,6.16e-09,120.98,102.2,97.93,269.99,3.2
52.4,5079.374,137.113,2.8491,3.7225,1.12e-07,6.16e-09,120.98,102.2,97.93,269.99,3.2
53.4,5080.419,137.422,2.8557,3.7538,1.12e-07,6.11e-09,120.98,102.2,97.93,269.99,3.2
54.5,5081.466,137.318,2.8482,3.7225,1.12e-07,6.07e-09,120.98,102.2,97.93,270.0,3.2
55.5,5082.503,138.186,2.8332,3.7225,1.12e-07,6.11e-09,120.98,102.2,97.93,270.0,3.6
56.5,5083.556,138.228,2.8482,3.6912,1.13e-07,6.18e-09,120.98,102.2,97.93,270.0,3.6
57.6,5084.589,138.434,2.8444,3.7225,1.12e-07,6.16e-09,120.98,102.2,97.93,270.0,3.6
58.6,5085.626,136.187,2.8416,3.7225,1.13e-07,6.11e-09,120.98,102.2,97.93,270.0,3.6
59.7,5086.676,138.305,2.8266,3.6599,1.13e-07,6.07e-09,120.98,102.2,97.93,269.99,3.6
