block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,1430.491,135.978,2.9448,3.441,1.21e-07,7.16e-09,125.06,105.42,97.8,270.0,5.6
1.1,1431.571,140.393,2.9495,3.5974,1.21e-07,7.17e-09,125.05,105.42,97.81,270.0,5.6
2.2,1432.659,140.811,3.0068,3.5974,1.21e-07,7.16e-09,125.05,105.42,97.8,269.99,5.6
3.3,1433.742,143.17,2.6868,5.1927,1.21e-07,7.13e-09,125.07,105.43,97.8,269.99,5.6
4.4,1434.867,137.981,2.9355,3.5974,1.21e-07,7.13e-09,125.05,105.43,97.8,270.0,5.2
5.5,1435.98,140.972,3.0368,5.0676,1.21e-07,7.16e-09,125.06,105.43,97.81,270.01,5.2
6.6,1437.055,140.211,2.9514,3.6287,1.21e-07,7.14e-09,125.06,105.43,97.81,269.99,5.2
7.7,1438.117,142.18,2.9805,3.9102,1.2e-07,7.09e-09,125.06,105.43,97.81,269.99,5.2
8.7,1439.206,145.557,2.9289,3.9727,1.21e-07,7.15e-09,125.06,105.43,97.8,270.0,5.2
9.8,1440.286,146.347,2.9176,3.5348,1.21e-07,7.15e-09,125.07,105.43,97.8,270.01,5.2
10.9,1441.365,141.024,2.9176,4.3481,1.21e-07,7.13e-09,125.07,105.43,97.8,270.0,5.2
12.0,1442.436,144.396,2.9458,3.5661,1.21e-07,7.11e-09,125.07,105.42,97.8,270.01,5.2
13.0,1443.495,144.719,2.9467,3.7225,1.21e-07,7.08e-09,125.06,105.42,97.8,270.0,5.2
14.1,1444.582,139.806,2.9514,3.6287,1.21e-07,7.13e-09,125.06,105.42,97.8,269.99,5.2
15.2,1445.669,142.538,2.9523,3.6912,1.2e-07,7.13e-09,125.07,105.42,97.8,270.0,5.2
16.3,1446.753,140.334,2.9448,3.3784,1.2e-07,7.11e-09,125.07,105.42,97.81,269.99,5.2
17.4,1447.878,146.054,2.9345,3.6287,1.2e-07,7.13e-09,125.07,105.42,97.8,270.0,5.2
18.5,1448.996,142.34,2.9373,3.4722,1.2e-07,7.1e-09,125.06,105.43,97.8,270.0,5.2
19.6,1450.085,128.492,2.9204,5.3804,1.2e-07,7.06e-09,125.06,105.42,97.8,270.0,5.2
20.7,1451.178,144.846,2.9111,3.5661,1.2e-07,7.09e-09,125.06,105.42,97.8,269.99,5.2
21.8,1452.256,143.766,2.957,3.5348,1.2e-07,7.04e-09,125.06,105.42,97.81,270.0,5.2
22.9,1453.342,142.326,2.9336,3.8163,1.2e-07,7.09e-09,125.06,105.43,97.81,270.0,5.2
24.0,1454.407,141.843,2.9279,3.6287,1.2e-07,7.11e-09,125.06,105.43,97.81,270.0,5.2
25.0,1455.481,144.8,2.9139,3.5348,1.2e-07,7.09e-09,125.06,105.43,97.81,270.0,5.2
26.1,1456.563,144.811,2.9176,3.6912,1.2e-07,7.1e-09,125.06,105.43,97.8,270.01,5.2
27.2,1457.654,141.434,2.9777,3.7225,1.21e-07,7.1e-09,125.06,105.43,97.8,269.99,5.2
28.3,1458.716,142.663,2.8951,3.6599,1.2e-07,7.09e-09,125.06,105.43,97.8,269.99,5.2
29.4,1459.845,140.199,2.9167,3.5348,1.2e-07,7.07e-09,125.06,105.43,97.8,270.0,5.2
30.5,1460.971,141.678,2.9589,5.0363,1.2e-07,7.13e-09,125.06,105.43,97.8,269.99,5.2
31.6,1462.058,141.239,2.8735,5.6307,1.21e-07,7.08e-09,125.06,105.42,97.8,269.99,5.2
32.7,1463.118,137.986,2.9045,3.5348,1.2e-07,7.1e-09,125.06,105.42,97.81,270.0,5.2
33.7,1464.202,140.98,2.9401,3.5348,1.2e-07,7.08e-09,125.06,105.42,97.8,270.01,5.6
34.8,1465.285,145.455,2.9965,3.6912,1.2e-07,7.08e-09,125.06,105.43,97.81,270.01,5.6
35.9,1466.366,145.82,2.9627,3.6599,1.2e-07,7.08e-09,125.06,105.42,97.81,269.99,5.6
37.0,1467.439,143.905,2.9261,3.441,1.2e-07,7.04e-09,125.06,105.42,97.8,269.99,5.6
38.0,1468.504,142.285,2.9355,3.5661,1.2e-07,7.06e-09,125.07,105.43,97.8,270.0,5.6
39.1,1469.583,147.246,2.9777,4.7861,1.2e-07,7.04e-09,125.07,105.42,97.8,270.0,5.6
40.2,1470.661,135.456,2.9889,3.7851,1.2e-07,7.03e-09,125.07,105.43,97.8,270.0,5.6
41.3,1471.718,143.961,2.7637,5.224,1.2e-07,7.07e-09,125.06,105.43,97.8,270.0,5.6
42.4,1472.842,142.757,2.9486,3.5035,1.2e-07,7.09e-09,125.07,105.43,97.8,269.99,5.6
43.5,1473.956,145.432,2.9167,3.7225,1.2e-07,7.03e-09,125.06,105.43,97.81,269.99,5.6
44.6,1475.053,133.994,3.0002,3.9102,1.2e-07,7.01e-09,125.06,105.43,97.81,270.0,5.2
45.7,1476.11,143.648,2.9711,3.7851,1.2e-07,7.06e-09,125.06,105.42,97.8,270.01,5.2
46.7,1477.201,134.825,2.9683,3.6599,1.2e-07,7.04e-09,125.06,105.42,97.8,269.99,5.2
47.8,1478.274,148.734,2.9289,3.6287,1.2e-07,7.05e-09,125.06,105.42,97.8,269.99,5.2
48.9,1479.349,149.562,2.9889,3.7225,1.2e-07,7.03e-09,125.06,105.43,97.81,269.99,5.2
50.0,1480.411,136.925,2.9636,3.7538,1.2e-07,7.08e-09,125.06,105.42,97.8,270.01,5.2
51.0,1481.49,144.939,2.9636,3.5974,1.2e-07,7.05e-09,125.06,105.43,97.8,270.01,5.2
52.1,1482.564,134.427,2.9552,3.3471,1.2e-07,7.02e-09,125.05,105.42,97.81,270.0,5.2
53.2,1483.647,144.71,2.9223,3.5035,1.2e-07,7.06e-09,125.06,105.42,97.81,270.0,5.2
54.3,1484.717,143.899,2.9373,3.3471,1.2e-07,7.03e-09,125.06,105.43,97.8,269.99,5.2
55.4,1485.814,144.536,2.957,3.2846,1.2e-07,7.05e-09,125.06,105.43,97.8,270.0,5.2
56.5,1486.947,144.483,3.0002,3.7538,1.2e-07,7.09e-09,125.06,105.42,97.8,270.01,5.2
57.6,1488.051,140.224,2.943,3.6287,1.2e-07,7.07e-09,125.06,105.43,97.8,270.0,5.2
58.7,1489.115,142.047,2.9223,3.5348,1.2e-07,7.04e-09,125.05,105.43,97.8,270.0,5.2
59.7,1490.204,143.994,2.912,3.5661,1.2e-07,7.07e-09,125.06,105.43,97.8,269.99,5.2
