block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,7831.183,119.742,2.9899,3.6287,1.12e-07,6.98e-09,129.87,100.79,101.77,269.99,4.4
1.1,7832.254,122.156,3.0434,3.5974,1.12e-07,6.99e-09,129.88,100.79,101.76,270.0,4.4
2.2,7833.317,116.819,3.1391,3.7851,1.12e-07,6.97e-09,129.87,100.8,101.77,270.01,4.4
3.3,7834.404,123.741,3.3108,3.6912,1.11e-07,6.99e-09,129.88,100.8,101.76,270.01,4.4
4.4,7835.488,121.375,3.0762,3.6287,1.12e-07,6.99e-09,129.88,100.79,101.77,270.0,4.4
5.5,7836.581,124.445,3.0903,3.7851,1.12e-07,7.01e-09,129.88,100.8,101.77,269.99,4.4
6.5,7837.66,118.194,3.0856,3.7225,1.12e-07,6.95e-09,129.88,100.8,101.77,269.99,4.4
7.7,7838.785,118.318,3.1053,3.8476,1.12e-07,6.99e-09,129.88,100.79,101.77,270.0,4.4
8.8,7839.903,121.114,3.1306,3.5974,1.11e-07,6.98e-09,129.88,100.8,101.76,270.01,4.4
9.9,7840.994,119.819,3.2695,3.8476,1.12e-07,6.95e-09,129.88,100.8,101.77,270.01,4.4
10.9,7842.068,120.091,3.0959,3.5035,1.12e-07,6.96e-09,129.88,100.79,101.76,270.0,4.4
12.0,7843.154,123.049,3.2855,3.6599,1.12e-07,7.01e-09,129.88,100.79,101.77,269.99,4.4
13.1,7844.222,121.028,3.14,3.8163,1.12e-07,6.99e-09,129.88,100.8,101.77,269.99,4.4
14.2,7845.301,117.982,3.0847,3.8476,1.12e-07,6.97e-09,129.88,100.79,101.77,270.0,4.4
15.3,7846.39,126.313,3.1635,3.5974,1.12e-07,7.02e-09,129.88,100.79,101.77,270.0,4.4
16.3,7847.46,120.964,3.0124,3.7225,1.12e-07,6.99e-09,129.87,100.79,101.77,270.0,4.4
17.4,7848.522,121.312,3.1926,3.7851,1.12e-07,6.98e-09,129.87,100.79,101.77,270.0,4.4
18.5,7849.611,122.891,3.0415,3.5974,1.12e-07,6.96e-09,129.88,100.8,101.77,269.99,4.4
19.6,7850.701,117.416,3.1156,3.4722,1.12e-07,6.96e-09,129.87,100.79,101.77,269.99,4.4
20.7,7851.82,119.433,3.1438,3.6599,1.12e-07,6.91e-09,129.87,100.79,101.77,269.99,4.4
21.8,7852.95,119.715,3.2667,3.7538,1.12e-07,6.97e-09,129.87,100.79,101.76,269.99,4.4
22.9,7854.015,120.376,3.1372,3.5348,1.12e-07,7e-09,129.88,100.8,101.77,270.01,4.4
24.0,7855.094,121.374,3.0471,3.441,1.12e-07,6.96e-09,129.87,100.79,101.77,270.01,4.4
25.1,7856.174,123.505,3.1475,3.6287,1.12e-07,6.99e-09,129.87,100.8,101.77,270.01,4.4
26.1,7857.256,116.78,3.0499,3.6287,1.12e-07,6.98e-09,129.88,100.79,101.77,269.99,4.4
27.2,7858.323,116.778,3.1138,3.5348,1.12e-07,6.96e-09,129.88,100.79,101.77,269.99,4.4
28.3,7859.413,121.208,3.019,3.8789,1.12e-07,6.94e-09,129.88,100.8,101.77,269.99,4.4
29.4,7860.492,119.749,3.095,3.6912,1.12e-07,6.99e-09,129.88,100.79,101.77,270.0,4.4
30.4,7861.565,116.804,3.1081,3.6287,1.12e-07,6.97e-09,129.88,100.79,101.77,270.0,4.4
31.5,7862.65,117.422,3.1513,3.5348,1.12e-07,6.96e-09,129.88,100.8,101.77,270.01,4.4
32.6,7863.76,121.527,3.2132,3.7225,1.12e-07,6.97e-09,129.88,100.79,101.77,270.0,4.4
33.8,7864.888,126.072,3.0021,3.5348,1.12e-07,7e-09,129.88,100.79,101.77,269.99,4.4
34.9,7865.99,122.394,3.1973,3.6912,1.12e-07,6.98e-09,129.88,100.79,101.76,270.0,4.4
35.9,7867.059,118.309,3.1053,3.6599,1.12e-07,6.96e-09,129.88,100.8,101.77,270.0,4.4
37.0,7868.155,115.846,3.065,3.3784,1.12e-07,6.96e-09,129.88,100.79,101.76,269.99,4.4
38.1,7869.226,120.204,3.1306,3.4722,1.12e-07,6.98e-09,129.88,100.8,101.77,269.99,4.4
39.2,7870.309,120.302,3.1213,3.441,1.12e-07,6.95e-09,129.88,100.8,101.76,270.0,4.4
40.3,7871.393,124.258,3.0406,3.5035,1.11e-07,6.97e-09,129.88,100.8,101.77,270.0,4.4
41.3,7872.471,124.818,3.0941,3.6287,1.12e-07,6.98e-09,129.88,100.8,101.77,270.0,4.4
42.4,7873.554,121.317,3.1982,3.5035,1.12e-07,7e-09,129.87,100.79,101.76,270.0,4.4
43.5,7874.624,117.173,3.003,3.441,1.12e-07,6.99e-09,129.88,100.79,101.76,269.99,4.4
44.6,7875.749,117.485,3.1184,3.6287,1.11e-07,6.97e-09,129.87,100.79,101.77,270.0,4.4
45.7,7876.872,116.231,3.1072,3.9102,1.12e-07,6.96e-09,129.88,100.79,101.77,270.0,4.4
46.9,7877.977,116.859,3.0631,3.5035,1.12e-07,6.98e-09,129.88,100.8,101.77,270.0,4.4
47.9,7879.052,122.315,3.1682,3.6599,1.12e-07,6.96e-09,129.88,100.79,101.77,270.0,4.4
49.0,7880.126,121.12,3.1954,3.6599,1.11e-07,6.97e-09,129.88,100.8,101.77,269.99,4.4
50.1,7881.226,122.395,3.1091,3.7851,1.12e-07,7.01e-09,129.88,100.79,101.76,269.99,4.4
51.2,7882.304,121.369,3.0087,3.6599,1.12e-07,6.98e-09,129.87,100.8,101.77,270.0,4.4
52.3,7883.378,124.346,3.0209,3.7225,1.12e-07,7e-09,129.88,100.79,101.76,270.0,4.4
53.3,7884.453,118.987,3.0743,3.5661,1.12e-07,6.93e-09,129.88,100.8,101.76,270.0,4.4
54.4,7885.519,116.885,3.0462,3.4722,1.12e-07,6.93e-09,129.88,100.79,101.77,269.99,4.4
55.5,7886.6,122.45,3.1297,3.441,1.12e-07,6.98e-09,129.88,100.8,101.76,270.0,4.4
56.6,7887.687,118.9,3.1184,3.6287,1.12e-07,6.97e-09,129.88,100.8,101.76,269.99,4.4
57.7,7888.802,120.419,3.141,3.5974,1.12e-07,7.03e-09,129.88,100.8,101.76,270.0,4.4
58.8,7889.926,116.715,3.0518,3.5661,1.11e-07,6.96e-09,129.88,100.79,101.77,269.99,4.4
59.9,7891.026,119.101,3.2358,3.5661,1.12e-07,6.94e-09,129.88,100.8,101.77,270.01,4.4
