block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,10597.928,119.897,3.0293,3.8163,1.18e-07,7.1e-09,129.98,106.34,107.0,270.01,3.6
1.2,10599.065,123.793,3.0471,3.7225,1.18e-07,7.09e-09,129.99,106.34,107.01,270.0,3.6
2.3,10600.155,122.419,3.0162,3.7538,1.18e-07,7.09e-09,130.0,106.34,107.01,270.0,3.6
3.4,10601.23,122.052,3.0162,3.6599,1.18e-07,7.06e-09,129.99,106.34,107.01,270.0,3.6
4.4,10602.297,123.608,3.0162,3.8476,1.18e-07,7.05e-09,129.98,106.34,107.02,269.99,3.6
5.5,10603.384,122.7,2.9852,3.7538,1.18e-07,7.09e-09,129.99,106.35,107.02,269.99,3.6
6.6,10604.462,122.53,3.003,3.8163,1.18e-07,7.1e-09,129.99,106.34,107.01,270.0,3.6
7.7,10605.549,123.099,3.0246,3.8476,1.18e-07,7.09e-09,129.99,106.34,107.01,270.01,3.6
8.8,10606.628,122.086,2.9918,3.7538,1.18e-07,7.09e-09,129.99,106.34,107.01,270.0,3.6
9.8,10607.695,120.184,2.9889,3.6599,1.18e-07,7.1e-09,129.98,106.34,107.01,269.99,3.6
10.9,10608.78,122.26,3.0284,3.7851,1.18e-07,7.07e-09,129.99,106.34,107.01,269.99,3.6
12.0,10609.875,122.53,3.0499,3.7851,1.18e-07,7.07e-09,129.99,106.34,107.01,269.99,3.6
13.1,10610.994,122.013,3.0912,3.8789,1.18e-07,7.05e-09,129.99,106.34,107.01,270.01,3.6
14.2,10612.105,124.891,3.018,3.8163,1.18e-07,7.06e-09,129.99,106.34,107.01,270.01,3.6
15.3,10613.184,123.221,3.0218,3.7225,1.18e-07,7.12e-09,129.99,106.34,107.01,270.0,3.6
16.4,10614.254,123.511,2.9899,3.6912,1.18e-07,7.11e-09,130.0,106.34,107.01,269.99,3.6
17.5,10615.33,119.616,3.018,3.6287,1.18e-07,7.08e-09,130.0,106.34,107.01,269.99,3.6
18.5,10616.397,123.733,3.064,3.7538,1.18e-07,7.09e-09,130.0,106.34,107.01,270.01,3.6
19.6,10617.479,122.808,3.0255,3.9727,1.18e-07,7.09e-09,130.0,106.34,107.01,270.0,3.6
20.7,10618.565,121.992,3.0772,4.0979,1.18e-07,7.07e-09,130.0,106.34,107.01,270.0,3.6
21.8,10619.643,122.719,3.0621,3.8789,1.18e-07,7.11e-09,130.0,106.34,107.01,269.99,3.6
22.8,10620.705,121.143,3.0143,3.8163,1.18e-07,7.12e-09,130.01,106.34,107.01,270.0,3.6
23.9,10621.791,124.877,3.0359,3.6599,1.18e-07,7.13e-09,130.0,106.34,107.01,270.01,3.6
25.0,10622.883,125.151,3.0406,3.8163,1.18e-07,7.1e-09,130.01,106.34,107.01,270.0,3.6
26.1,10624.004,123.084,3.0621,3.9727,1.18e-07,7.13e-09,130.02,106.34,107.01,269.99,3.6
27.3,10625.131,123.261,3.0312,3.7225,1.18e-07,7.1e-09,130.0,106.34,107.01,269.99,3.6
28.3,10626.193,126.08,3.0894,3.9415,1.18e-07,7.09e-09,130.01,106.34,107.01,269.99,3.6
29.4,10627.268,122.871,3.0396,3.9415,1.18e-07,7.07e-09,130.0,106.34,107.01,270.0,3.6
30.5,10628.344,122.57,2.9814,3.7851,1.18e-07,7.1e-09,130.0,106.34,107.01,270.0,3.6
31.6,10629.424,123.391,3.0941,3.8476,1.18e-07,7.11e-09,129.99,106.34,107.01,270.0,3.6
32.6,10630.488,125.294,3.0894,3.8476,1.18e-07,7.1e-09,130.0,106.34,107.01,270.01,3.6
33.7,10631.58,123.834,3.079,3.8163,1.18e-07,7.12e-09,130.0,106.34,107.02,269.99,4.0
34.8,10632.654,124.68,3.0058,3.7851,1.18e-07,7.11e-09,130.0,106.34,107.01,269.99,4.0
35.9,10633.732,121.883,2.9739,3.8476,1.18e-07,7.08e-09,130.0,106.34,107.01,270.0,4.0
36.9,10634.795,125.223,3.0387,3.7225,1.18e-07,7.1e-09,129.99,106.34,107.01,270.0,4.0
38.0,10635.874,124.494,2.9683,3.9415,1.18e-07,7.12e-09,130.0,106.34,107.01,270.01,4.0
39.1,10637.002,121.723,3.0471,3.8789,1.18e-07,7.06e-09,130.0,106.34,107.01,270.0,4.0
40.3,10638.138,123.798,3.0922,3.9102,1.18e-07,7.09e-09,130.0,106.34,107.02,270.0,4.0
41.3,10639.203,121.592,3.019,3.8476,1.18e-07,7.1e-09,130.01,106.34,107.01,269.99,4.0
42.4,10640.284,122.456,3.1072,3.7225,1.18e-07,7.11e-09,130.01,106.35,107.01,270.0,4.0
43.5,10641.356,122.824,3.0049,3.8163,1.18e-07,7.12e-09,130.0,106.34,107.01,270.0,4.0
44.6,10642.43,123.836,3.049,3.8789,1.18e-07,7.1e-09,130.0,106.35,107.01,270.0,3.6
45.6,10643.492,122.229,3.0415,3.8163,1.18e-07,7.07e-09,130.0,106.34,107.01,270.0,3.6
46.7,10644.572,126.1,2.9899,3.8476,1.18e-07,7.08e-09,130.0,106.34,107.01,270.0,3.6
47.8,10645.65,125.211,3.0612,3.9102,1.18e-07,7.13e-09,130.0,106.34,107.01,269.99,3.6
48.9,10646.737,126.378,3.0171,3.7538,1.18e-07,7.11e-09,130.0,106.34,107.01,270.0,3.6
