block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,4028.59,83.817,2.8782,3.4722,1.05e-07,6.05e-09,126.96,100.24,109.94,269.99,1.6
1.1,4029.676,80.822,2.8454,3.5348,1.05e-07,6.08e-09,126.95,100.24,109.94,269.99,1.6
2.2,4030.765,82.985,2.8613,3.5348,1.05e-07,6.03e-09,126.96,100.24,109.94,270.0,1.6
3.3,4031.837,78.366,2.835,3.5035,1.04e-07,6.09e-09,126.96,100.24,109.94,270.0,1.6
4.3,4032.897,77.095,2.8501,3.5661,1.04e-07,6.17e-09,126.97,100.25,109.94,270.0,1.6
5.4,4033.974,78.272,2.8576,3.5348,1.04e-07,6.16e-09,126.96,100.25,109.94,270.0,1.6
6.5,4035.053,81.053,2.8275,3.5974,1.05e-07,6.07e-09,126.95,100.25,109.94,270.0,1.6
7.6,4036.13,76.822,2.8698,3.5661,1.05e-07,6.04e-09,126.95,100.25,109.94,269.99,1.2
8.6,4037.194,78.496,2.8576,3.5348,1.05e-07,6.07e-09,126.95,100.24,109.94,269.99,1.2
9.7,4038.278,80.447,2.851,3.5035,1.05e-07,6.04e-09,126.96,100.25,109.94,269.99,1.2
10.8,4039.382,84.357,2.8501,3.6599,1.05e-07,6.08e-09,126.95,100.24,109.94,270.01,1.2
12.0,4040.529,80.615,2.8698,3.5348,1.04e-07,6.17e-09,126.95,100.24,109.94,270.0,1.2
13.1,4041.621,79.414,2.8857,3.5661,1.05e-07,6.14e-09,126.95,100.24,109.93,269.99,1.2
14.1,4042.687,76.743,2.851,3.5661,1.04e-07,6.16e-09,126.94,100.24,109.94,269.99,1.2
15.2,4043.779,77.245,2.8397,3.5348,1.04e-07,6.14e-09,126.94,100.24,109.94,269.99,1.2
16.3,4044.847,82.112,2.8913,3.5035,1.05e-07,6.07e-09,126.95,100.24,109.94,270.0,1.2
17.4,4045.925,75.997,2.8501,3.4722,1.05e-07,6.03e-09,126.94,100.24,109.94,270.0,1.2
18.4,4046.986,74.987,2.8106,3.5348,1.04e-07,6.09e-09,126.95,100.24,109.94,270.01,1.2
19.5,4048.066,82.162,2.8547,3.6599,1.04e-07,6.16e-09,126.95,100.24,109.94,270.0,1.2
20.6,4049.152,78.836,2.8519,3.5661,1.04e-07,6.14e-09,126.95,100.24,109.94,270.0,1.2
21.7,4050.238,80.859,2.8547,3.4097,1.05e-07,6.17e-09,126.95,100.25,109.94,269.99,1.2
22.8,4051.321,81.849,2.8369,3.5348,1.04e-07,6.14e-09,126.95,100.24,109.94,269.99,1.2
23.9,4052.429,76.617,2.8407,3.5661,1.04e-07,6.06e-09,126.95,100.24,109.94,270.01,1.2
25.0,4053.557,78.047,2.8397,3.4722,1.04e-07,6.03e-09,126.95,100.25,109.94,270.0,1.2
26.1,4054.645,82.965,2.9045,3.6287,1.05e-07,6.09e-09,126.96,100.25,109.94,270.0,1.2
27.2,4055.73,80.93,2.882,3.4722,1.04e-07,6.04e-09,126.96,100.24,109.94,270.0,1.2
28.3,4056.816,78.817,2.8397,3.5348,1.04e-07,6.09e-09,126.95,100.24,109.94,269.99,1.2
29.3,4057.893,75.869,2.8698,3.5035,1.05e-07,6.16e-09,126.95,100.25,109.94,270.0,1.2
30.4,4058.98,77.188,2.8604,3.5035,1.05e-07,6.14e-09,126.96,100.24,109.94,270.01,1.2
