block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,3354.684,81.461,2.3592,3.0656,1.17e-07,5.72e-09,127.06,101.28,103.66,270.01,2.8
1.2,3355.787,81.662,2.3574,3.0656,1.17e-07,5.69e-09,127.05,101.28,103.66,270.0,2.8
2.3,3356.873,81.141,2.3442,3.0343,1.17e-07,5.62e-09,127.06,101.28,103.66,269.99,2.8
3.3,3357.937,80.699,2.3442,3.0656,1.17e-07,5.59e-09,127.05,101.28,103.66,269.99,2.8
4.4,3359.015,81.158,2.3592,3.0656,1.17e-07,5.64e-09,127.04,101.28,103.66,270.0,2.8
5.5,3360.093,81.239,2.3536,3.0656,1.17e-07,5.59e-09,127.04,101.28,103.65,270.01,2.8
6.6,3361.174,81.479,2.3367,3.0343,1.17e-07,5.65e-09,127.04,101.28,103.66,270.01,2.8
7.6,3362.237,81.734,2.3442,3.0656,1.17e-07,5.7e-09,127.04,101.28,103.66,269.99,2.8
8.7,3363.315,81.414,2.3639,3.0656,1.17e-07,5.69e-09,127.03,101.28,103.66,269.98,2.4
9.8,3364.389,81.171,2.3621,3.0656,1.17e-07,5.62e-09,127.03,101.28,103.66,269.99,2.4
10.8,3365.449,81.79,2.3499,3.0656,1.17e-07,5.6e-09,127.02,101.28,103.66,269.99,2.4
11.9,3366.519,81.617,2.3574,3.0656,1.17e-07,5.65e-09,127.02,101.28,103.66,270.0,2.4
13.0,3367.642,81.26,2.3517,3.0656,1.17e-07,5.61e-09,127.02,101.28,103.66,270.0,2.4
14.2,3368.774,81.307,2.3686,3.0656,1.17e-07,5.66e-09,127.0,101.28,103.66,270.0,2.4
15.3,3369.875,80.961,2.3574,3.0656,1.17e-07,5.73e-09,127.01,101.28,103.66,269.99,2.4
16.3,3370.939,81.334,2.3602,3.0969,1.17e-07,5.69e-09,127.01,101.28,103.65,269.99,2.4
17.4,3372.029,80.785,2.3527,3.0343,1.17e-07,5.62e-09,127.01,101.28,103.66,270.0,2.4
18.5,3373.104,81.955,2.3517,3.0343,1.17e-07,5.71e-09,127.0,101.28,103.66,270.0,2.4
19.6,3374.186,80.961,2.3499,3.0656,1.17e-07,5.62e-09,127.0,101.28,103.66,270.0,2.4
20.6,3375.246,81.397,2.3555,3.0656,1.17e-07,5.59e-09,127.0,101.28,103.67,269.99,2.4
21.7,3376.327,80.834,2.3902,3.1281,1.17e-07,5.67e-09,127.0,101.28,103.66,269.99,2.4
22.8,3377.397,80.731,2.348,3.0656,1.17e-07,5.74e-09,127.0,101.28,103.66,269.99,2.4
23.9,3378.475,81.596,2.3442,3.0343,1.17e-07,5.71e-09,126.99,101.28,103.66,269.99,2.4
24.9,3379.537,80.539,2.3414,3.0343,1.17e-07,5.73e-09,127.0,101.28,103.66,270.01,2.4
26.0,3380.653,81.982,2.3508,3.0343,1.17e-07,5.68e-09,127.01,101.28,103.65,270.01,2.4
27.2,3381.792,80.67,2.3639,3.0656,1.17e-07,5.63e-09,127.01,101.28,103.66,269.99,2.4
28.3,3382.894,80.856,2.3621,3.0343,1.17e-07,5.61e-09,127.01,101.28,103.66,269.99,2.4
29.3,3383.953,80.822,2.3489,3.0656,1.17e-07,5.66e-09,127.02,101.28,103.65,270.0,2.4
30.4,3385.031,81.025,2.3621,3.0656,1.17e-07,5.74e-09,127.02,101.28,103.66,270.0,2.4
31.5,3386.122,81.301,2.3602,3.0656,1.17e-07,5.67e-09,127.01,101.28,103.66,270.0,2.4
32.6,3387.199,81.214,2.3424,3.0343,1.17e-07,5.74e-09,127.02,101.28,103.66,270.0,2.4
33.7,3388.281,81.102,2.3583,3.0656,1.17e-07,5.7e-09,127.02,101.28,103.66,269.99,2.4
34.7,3389.346,81.585,2.3583,3.0656,1.17e-07,5.65e-09,127.02,101.28,103.66,269.99,2.4
35.8,3390.425,81.981,2.3564,3.0656,1.17e-07,5.62e-09,127.02,101.28,103.66,270.0,2.4
36.9,3391.496,80.619,2.3508,3.0656,1.17e-07,5.67e-09,127.02,101.28,103.66,270.0,2.4
37.9,3392.556,82.013,2.3499,3.0656,1.17e-07,5.61e-09,127.01,101.28,103.66,270.0,2.4
39.1,3393.69,81.62,2.3564,3.0969,1.17e-07,5.67e-09,127.01,101.28,103.66,269.99,2.4
40.2,3394.8,81.047,2.3724,3.0656,1.17e-07,5.73e-09,127.01,101.28,103.67,269.99,2.4
41.3,3395.894,80.476,2.3433,3.0656,1.17e-07,5.71e-09,127.01,101.28,103.66,269.99,2.4
42.4,3396.975,80.518,2.3649,3.0656,1.17e-07,5.63e-09,127.0,101.28,103.66,270.0,2.4
43.4,3398.038,81.286,2.3517,3.0656,1.18e-07,5.62e-09,127.01,101.28,103.65,270.0,2.4
44.5,3399.116,81.422,2.347,3.0656,1.17e-07,5.64e-09,127.0,101.28,103.66,269.99,2.4
45.6,3400.195,80.835,2.3611,3.0656,1.17e-07,5.64e-09,127.01,101.28,103.66,269.99,2.4
46.7,3401.282,80.348,2.3499,3.0969,1.17e-07,5.65e-09,127.01,101.28,103.66,269.99,2.4
47.7,3402.342,80.942,2.3489,3.0969,1.17e-07,5.73e-09,127.01,101.28,103.66,269.99,2.4
48.8,3403.421,80.306,2.3517,3.0656,1.17e-07,5.71e-09,127.01,101.28,103.66,270.0,2.4
49.9,3404.497,80.565,2.363,3.0969,1.18e-07,5.65e-09,127.01,101.28,103.66,270.01,2.4
51.0,3405.578,80.367,2.3574,3.0656,1.17e-07,5.72e-09,127.01,101.28,103.66,269.99,2.4
52.1,3406.705,81.43,2.3611,3.0969,1.17e-07,5.65e-09,127.01,101.28,103.66,270.0,2.4
53.2,3407.823,80.904,2.3574,3.0969,1.17e-07,5.62e-09,127.02,101.28,103.66,270.0,2.4
54.3,3408.893,81.354,2.3677,3.1281,1.18e-07,5.66e-09,127.02,101.28,103.66,270.0,2.4
55.4,3409.975,81.742,2.3555,3.0969,1.17e-07,5.74e-09,127.02,101.28,103.66,270.0,2.4
56.4,3411.038,81.778,2.3658,3.0969,1.17e-07,5.73e-09,127.02,101.28,103.66,269.99,2.4
57.5,3412.119,80.982,2.3536,3.0656,1.17e-07,5.75e-09,127.02,101.28,103.66,269.99,2.4
58.6,3413.191,81.333,2.3527,3.0969,1.17e-07,5.72e-09,127.01,101.28,103.65,270.0,2.8
59.6,3414.249,81.136,2.3386,3.0656,1.17e-07,5.66e-09,127.01,101.28,103.66,270.0,2.8
