block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,7050.878,121.21,2.8651,4.5671,1.08e-07,6.24e-09,123.42,107.02,105.3,269.99,2.4
1.1,7051.935,119.067,2.8585,4.5671,1.08e-07,6.16e-09,123.41,107.02,105.3,270.0,2.4
2.2,7053.021,124.087,2.8829,4.5358,1.08e-07,6.18e-09,123.41,107.02,105.31,270.01,2.4
3.3,7054.102,120.239,2.8501,4.5358,1.08e-07,6.15e-09,123.42,107.02,105.31,270.01,2.4
4.3,7055.181,118.805,2.8791,4.5358,1.08e-07,6.16e-09,123.42,107.01,105.31,270.0,2.4
5.5,7056.286,120.793,2.8669,4.5671,1.08e-07,6.28e-09,123.4,107.0,105.31,270.0,2.4
6.6,7057.408,118.334,2.8829,4.5045,1.08e-07,6.3e-09,123.4,107.0,105.3,269.99,2.4
7.7,7058.497,121.713,2.8716,4.5358,1.08e-07,6.22e-09,123.41,107.0,105.3,269.99,2.4
8.7,7059.556,122.815,2.8707,4.5045,1.08e-07,6.29e-09,123.42,107.0,105.3,270.01,2.4
9.8,7060.635,122.538,2.8088,4.4733,1.08e-07,6.21e-09,123.41,107.0,105.31,270.01,2.4
10.9,7061.709,124.407,2.8247,4.5045,1.08e-07,6.15e-09,123.42,107.01,105.31,270.01,2.4
12.0,7062.79,124.288,2.8557,4.5045,1.08e-07,6.16e-09,123.4,107.01,105.31,270.0,2.4
13.0,7063.853,123.755,2.836,4.5045,1.08e-07,6.22e-09,123.42,107.01,105.3,269.99,2.4
14.1,7064.933,123.051,2.8735,4.4733,1.08e-07,6.29e-09,123.42,107.02,105.3,269.99,2.4
15.2,7066.009,118.54,2.8303,4.5045,1.08e-07,6.22e-09,123.42,107.02,105.3,269.99,2.4
16.3,7067.091,122.253,2.851,4.5045,1.08e-07,6.29e-09,123.41,107.02,105.3,269.99,2.4
17.3,7068.159,120.111,2.8501,4.4733,1.08e-07,6.24e-09,123.42,107.02,105.3,269.99,2.4
18.4,7069.283,115.853,2.8594,4.5045,1.08e-07,6.16e-09,123.42,107.02,105.3,269.99,2.4
19.6,7070.399,122.75,2.8838,4.5045,1.08e-07,6.18e-09,123.42,107.02,105.3,270.0,2.4
20.7,7071.499,122.82,2.8782,4.5045,1.08e-07,6.22e-09,123.42,107.01,105.3,270.0,2.4
21.8,7072.587,120.468,2.8435,4.5045,1.08e-07,6.17e-09,123.42,107.01,105.3,270.0,2.4
22.8,7073.65,121.982,2.8519,4.4733,1.08e-07,6.23e-09,123.42,107.01,105.3,270.0,2.4
23.9,7074.724,118.055,2.8632,4.4733,1.08e-07,6.3e-09,123.4,107.0,105.3,269.99,2.4
25.0,7075.803,123.828,2.8632,4.4733,1.08e-07,6.23e-09,123.41,107.01,105.3,269.99,2.4
26.1,7076.889,124.005,2.8566,4.442,1.08e-07,6.17e-09,123.42,107.01,105.3,269.99,2.4
27.1,7077.953,116.852,2.8078,4.442,1.08e-07,6.17e-09,123.42,107.01,105.31,270.0,2.4
28.2,7079.035,118.605,2.8576,4.4733,1.08e-07,6.23e-09,123.42,107.01,105.3,270.01,2.4
29.3,7080.114,124.718,2.8623,4.4733,1.08e-07,6.16e-09,123.41,107.01,105.31,269.99,2.4
30.4,7081.196,121.154,2.8632,4.4733,1.08e-07,6.23e-09,123.42,107.02,105.3,269.99,2.4
31.4,7082.257,121.274,2.8332,4.4733,1.08e-07,6.3e-09,123.42,107.02,105.3,269.99,2.4
32.5,7083.332,122.985,2.8482,4.4733,1.08e-07,6.23e-09,123.41,107.02,105.3,270.0,2.4
33.6,7084.413,122.968,2.8388,4.5045,1.08e-07,6.16e-09,123.41,107.02,105.3,269.99,2.4
34.7,7085.49,119.538,2.8735,4.5984,1.08e-07,6.15e-09,123.42,107.02,105.3,270.01,2.4
35.7,7086.55,124.507,2.8163,4.5358,1.09e-07,6.16e-09,123.42,107.02,105.31,270.0,2.4
36.8,7087.641,118.809,2.8369,4.5358,1.09e-07,6.16e-09,123.42,107.01,105.3,270.0,2.4
37.9,7088.725,122.474,2.8303,4.5045,1.08e-07,6.21e-09,123.42,107.01,105.31,269.99,2.4
39.0,7089.819,117.523,2.8454,4.5045,1.08e-07,6.31e-09,123.42,107.01,105.31,270.0,2.4
40.1,7090.931,122.592,2.8454,4.5358,1.09e-07,6.24e-09,123.42,107.01,105.3,270.0,2.4
41.2,7092.035,121.56,2.8416,4.5358,1.08e-07,6.17e-09,123.42,107.01,105.3,270.0,2.4
42.3,7093.121,119.725,2.835,4.5358,1.08e-07,6.24e-09,123.42,107.01,105.3,270.01,2.8
43.4,7094.2,119.961,2.8745,4.5358,1.08e-07,6.17e-09,123.42,107.01,105.31,269.99,2.8
44.5,7095.295,121.706,2.8501,4.5358,1.08e-07,6.16e-09,123.42,107.01,105.31,269.99,2.8
45.5,7096.382,121.505,2.8604,4.5045,1.08e-07,6.24e-09,123.42,107.02,105.31,270.0,2.8
46.6,7097.446,119.433,2.8547,4.5671,1.08e-07,6.31e-09,123.42,107.01,105.31,270.0,2.8
47.7,7098.516,121.041,2.8444,4.5358,1.08e-07,6.24e-09,123.41,107.01,105.3,269.99,2.8
48.8,7099.599,123.75,2.8763,4.5984,1.08e-07,6.3e-09,123.42,107.01,105.3,270.0,2.8
49.8,7100.678,122.739,2.8369,4.5671,1.08e-07,6.25e-09,123.42,107.01,105.31,269.99,2.8
50.9,7101.736,123.294,2.8257,4.5358,1.09e-07,6.16e-09,123.42,107.01,105.3,270.0,2.8
52.0,7102.82,119.234,2.835,4.5671,1.08e-07,6.17e-09,123.42,107.02,105.31,270.02,2.4
