block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,6061.927,151.845,3.0912,4.1292,1.03e-07,6.69e-09,124.89,97.32,100.06,270.01,2.8
1.2,6063.048,146.445,3.1241,4.0979,1.03e-07,6.62e-09,124.88,97.31,100.06,270.0,2.4
2.3,6064.148,142.238,3.1419,4.1292,1.03e-07,6.69e-09,124.89,97.32,100.06,269.99,2.4
3.3,6065.233,148.206,3.1335,4.0353,1.03e-07,6.68e-09,124.89,97.32,100.06,269.99,2.4
4.4,6066.306,154.02,3.126,4.0666,1.03e-07,6.59e-09,124.88,97.32,100.06,269.99,2.4
5.5,6067.389,145.777,3.14,4.004,1.03e-07,6.56e-09,124.88,97.32,100.06,270.0,2.4
6.6,6068.449,146.516,3.1569,4.1292,1.03e-07,6.59e-09,124.87,97.32,100.06,270.02,2.4
7.6,6069.527,153.808,3.1757,4.0353,1.03e-07,6.69e-09,124.87,97.32,100.06,270.01,2.4
8.7,6070.614,153.422,3.1184,4.0979,1.03e-07,6.65e-09,124.87,97.32,100.06,270.0,2.4
9.8,6071.686,153.023,3.0734,4.0353,1.03e-07,6.71e-09,124.87,97.32,100.06,269.99,2.4
10.9,6072.752,148.732,3.1391,4.0666,1.03e-07,6.62e-09,124.87,97.32,100.06,269.99,2.4
12.0,6073.838,153.95,3.1438,3.9727,1.03e-07,6.55e-09,124.88,97.32,100.06,270.0,2.4
13.1,6074.937,148.227,3.1081,4.0666,1.03e-07,6.57e-09,124.87,97.32,100.06,270.0,2.4
14.2,6076.051,138.615,3.1184,4.0353,1.03e-07,6.54e-09,124.87,97.32,100.06,270.01,2.4
15.3,6077.157,149.858,3.14,4.0666,1.03e-07,6.55e-09,124.87,97.32,100.06,270.0,2.4
16.4,6078.241,148.771,3.1466,4.0666,1.03e-07,6.58e-09,124.88,97.32,100.06,269.99,2.4
17.4,6079.324,148.593,3.1325,4.0353,1.03e-07,6.69e-09,124.88,97.32,100.06,270.0,2.4
18.5,6080.396,154.274,3.1269,4.0979,1.03e-07,6.68e-09,124.88,97.32,100.06,269.99,2.4
19.6,6081.479,152.688,3.1428,4.0353,1.03e-07,6.6e-09,124.89,97.32,100.06,270.0,2.4
20.7,6082.544,145.603,3.1522,4.0666,1.03e-07,6.55e-09,124.89,97.32,100.06,270.0,2.8
21.7,6083.627,145.118,3.1363,4.0979,1.03e-07,6.54e-09,124.89,97.32,100.06,270.0,2.8
22.8,6084.702,148.66,3.1475,4.0979,1.03e-07,6.55e-09,124.89,97.32,100.06,270.0,2.8
23.9,6085.781,147.759,3.1569,4.0979,1.03e-07,6.62e-09,124.89,97.32,100.06,269.99,2.8
25.0,6086.843,152.226,3.1494,4.0666,1.03e-07,6.68e-09,124.89,97.32,100.06,270.0,2.8
26.1,6087.947,146.055,3.1391,4.1292,1.03e-07,6.61e-09,124.89,97.32,100.06,270.0,2.8
27.2,6089.083,147.915,3.1203,4.1292,1.03e-07,6.64e-09,124.88,97.32,100.06,270.01,2.8
28.3,6090.19,146.927,3.1138,4.0353,1.03e-07,6.66e-09,124.88,97.32,100.06,270.0,2.8
29.4,6091.251,147.409,3.1372,4.0979,1.03e-07,6.54e-09,124.88,97.32,100.06,269.99,2.8
30.4,6092.329,156.863,3.1569,4.0979,1.03e-07,6.54e-09,124.88,97.32,100.06,269.99,2.8
31.5,6093.403,157.252,3.1457,4.0979,1.03e-07,6.56e-09,124.87,97.32,100.06,270.0,2.8
32.6,6094.458,151.956,3.126,4.0979,1.03e-07,6.66e-09,124.87,97.32,100.06,270.0,2.8
33.6,6095.531,150.898,3.1006,4.0979,1.03e-07,6.66e-09,124.87,97.32,100.06,270.0,2.8
34.7,6096.625,148.27,3.1447,4.0666,1.03e-07,6.68e-09,124.87,97.32,100.06,270.0,2.8
35.8,6097.701,153.494,3.0875,4.0666,1.03e-07,6.6e-09,124.87,97.32,100.06,269.99,2.8
36.9,6098.778,151.455,3.1288,4.0979,1.03e-07,6.53e-09,124.88,97.32,100.06,269.99,2.8
38.0,6099.839,148.975,3.1297,4.1292,1.03e-07,6.52e-09,124.88,97.32,100.06,270.0,2.8
39.0,6100.924,147.996,3.1147,4.0979,1.03e-07,6.6e-09,124.88,97.32,100.06,269.99,2.8
40.2,6102.043,151.749,3.125,4.0353,1.03e-07,6.52e-09,124.88,97.32,100.06,270.0,2.8
41.3,6103.147,149.647,3.1569,4.0666,1.03e-07,6.6e-09,124.88,97.32,100.06,270.0,2.4
42.3,6104.223,139.057,3.1156,4.0353,1.03e-07,6.64e-09,124.88,97.32,100.06,270.0,2.4
43.4,6105.302,147.426,3.125,4.0666,1.03e-07,6.65e-09,124.88,97.32,100.06,270.0,2.4
44.5,6106.387,147.704,3.0987,4.0666,1.03e-07,6.51e-09,124.88,97.32,100.06,270.0,2.4
45.6,6107.449,146.635,3.0922,4.0666,1.03e-07,6.52e-09,124.88,97.32,100.06,270.0,2.4
46.6,6108.531,150.959,3.1306,4.0353,1.03e-07,6.61e-09,124.88,97.32,100.06,270.0,2.4
47.7,6109.618,149.151,3.1288,4.0666,1.03e-07,6.52e-09,124.88,97.32,100.06,270.01,2.4
48.8,6110.693,143.639,3.155,4.1292,1.03e-07,6.59e-09,124.88,97.32,100.06,270.0,2.4
49.9,6111.751,150.966,3.1607,3.9727,1.03e-07,6.66e-09,124.88,97.32,100.06,269.99,2.4
51.0,6112.845,147.849,3.1203,4.0666,1.03e-07,6.59e-09,124.88,97.32,100.06,269.99,2.4
52.0,6113.92,141.379,3.1447,4.004,1.03e-07,6.54e-09,124.87,97.32,100.06,270.0,2.4
53.1,6114.994,151.061,3.079,4.0666,1.03e-07,6.53e-09,124.88,97.32,100.06,270.0,2.4
