block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,1707.411,113.444,2.6633,3.4097,1.2e-07,7.1e-09,126.54,98.3,101.34,269.99,2.8
1.0,1708.442,113.085,2.6539,3.3784,1.21e-07,7.08e-09,126.54,98.3,101.34,270.0,2.8
2.1,1709.504,113.506,2.6417,3.3784,1.21e-07,7.12e-09,126.53,98.29,101.34,270.0,2.8
3.1,1710.541,112.542,2.6427,3.3784,1.21e-07,7.09e-09,126.52,98.3,101.34,270.0,2.8
4.2,1711.593,113.609,2.6539,3.3471,1.21e-07,7.06e-09,126.53,98.3,101.34,270.0,2.8
5.2,1712.626,113.346,2.6539,3.3784,1.21e-07,7.14e-09,126.53,98.3,101.35,270.01,2.8
6.2,1713.656,113.887,2.6502,3.4097,1.21e-07,7.09e-09,126.52,98.3,101.34,269.99,2.8
7.3,1714.704,112.424,2.6427,3.3784,1.21e-07,7.09e-09,126.52,98.29,101.34,269.99,2.8
8.3,1715.747,112.949,2.6511,3.3784,1.21e-07,7.1e-09,126.52,98.29,101.34,269.99,2.8
9.4,1716.793,113.407,2.6699,3.3784,1.21e-07,7.07e-09,126.52,98.29,101.34,270.0,2.8
10.4,1717.835,112.26,2.6455,3.4097,1.21e-07,7.1e-09,126.52,98.29,101.34,270.01,2.8
11.5,1718.893,112.65,2.652,3.3784,1.21e-07,7.12e-09,126.52,98.29,101.35,270.0,2.8
12.5,1719.952,112.69,2.6586,3.4097,1.21e-07,7.12e-09,126.52,98.29,101.35,270.0,2.8
13.6,1721.026,113.728,2.6661,3.3784,1.21e-07,7.12e-09,126.52,98.29,101.34,269.99,2.8
14.7,1722.097,113.279,2.6624,3.3784,1.21e-07,7.13e-09,126.52,98.29,101.34,269.99,2.8
15.7,1723.138,112.588,2.6614,3.4097,1.21e-07,7.09e-09,126.52,98.29,101.35,270.01,2.8
16.8,1724.191,112.81,2.6849,3.3784,1.21e-07,7.08e-09,126.52,98.29,101.34,270.0,2.8
17.8,1725.226,112.922,2.6567,3.3784,1.21e-07,7.15e-09,126.52,98.3,101.34,270.01,2.8
18.9,1726.287,113.04,2.6718,3.4097,1.21e-07,7.13e-09,126.52,98.3,101.34,270.0,2.8
19.9,1727.322,113.072,2.6952,3.441,1.21e-07,7.14e-09,126.52,98.3,101.34,269.99,2.8
21.0,1728.375,113.942,2.6802,3.4097,1.21e-07,7.12e-09,126.53,98.3,101.34,269.99,2.8
22.0,1729.43,113.59,2.6689,3.441,1.21e-07,7.12e-09,126.53,98.3,101.34,270.0,2.8
23.1,1730.505,113.636,2.6689,3.441,1.21e-07,7.12e-09,126.53,98.3,101.34,270.01,2.8
24.2,1731.578,113.706,2.6511,3.4097,1.21e-07,7.13e-09,126.53,98.3,101.34,270.01,2.8
25.2,1732.638,114.883,2.6708,3.4097,1.21e-07,7.11e-09,126.53,98.3,101.34,270.0,2.8
26.3,1733.698,113.985,2.6971,3.4097,1.21e-07,7.14e-09,126.53,98.29,101.34,269.99,2.8
27.3,1734.737,113.337,2.6764,3.4097,1.21e-07,7.14e-09,126.53,98.29,101.35,269.99,2.8
28.4,1735.79,113.384,2.6858,3.441,1.21e-07,7.11e-09,126.53,98.29,101.34,269.99,2.8
29.4,1736.826,113.167,2.653,3.441,1.21e-07,7.1e-09,126.53,98.29,101.34,270.0,2.8
30.4,1737.858,114.484,2.6633,3.441,1.22e-07,7.13e-09,126.52,98.29,101.34,270.01,2.8
31.5,1738.907,112.874,2.668,3.441,1.22e-07,7.16e-09,126.52,98.29,101.34,269.99,2.8
32.5,1739.944,114.267,2.6821,3.441,1.21e-07,7.11e-09,126.52,98.29,101.34,270.0,2.8
33.6,1740.997,113.654,2.6811,3.4722,1.21e-07,7.14e-09,126.52,98.3,101.34,269.99,2.8
34.6,1742.039,112.893,2.6642,3.441,1.22e-07,7.15e-09,126.52,98.29,101.34,269.99,2.8
35.7,1743.087,112.957,2.6605,3.4722,1.21e-07,7.12e-09,126.52,98.3,101.34,270.0,2.8
36.7,1744.129,114.089,2.6802,3.441,1.21e-07,7.1e-09,126.52,98.3,101.34,270.0,2.8
37.7,1745.16,112.025,2.6727,3.4722,1.21e-07,7.13e-09,126.52,98.3,101.34,270.01,2.8
38.8,1746.205,112.961,2.6764,3.441,1.22e-07,7.16e-09,126.52,98.29,101.34,270.0,2.8
39.8,1747.238,112.8,2.6802,3.441,1.21e-07,7.13e-09,126.52,98.29,101.34,269.99,2.8
40.9,1748.293,113.676,2.6774,3.441,1.22e-07,7.12e-09,126.52,98.29,101.34,269.99,2.8
