block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,5623.273,68.451,2.7487,4.5984,1.09e-07,6.08e-09,117.56,106.98,104.57,270.0,2.0
1.1,5624.348,67.89,2.7346,4.5671,1.09e-07,6e-09,117.57,106.98,104.57,270.01,2.0
2.2,5625.459,65.484,2.7543,4.6609,1.09e-07,6.04e-09,117.56,106.97,104.57,270.0,2.0
3.3,5626.576,63.384,2.7327,4.6297,1.09e-07,6.02e-09,117.57,106.98,104.57,269.99,2.0
4.4,5627.66,69.827,2.7571,4.5671,1.09e-07,6.03e-09,117.56,106.97,104.57,269.99,2.0
5.5,5628.75,65.814,2.7534,4.5984,1.09e-07,6.11e-09,117.57,106.97,104.57,269.99,2.0
6.6,5629.831,65.507,2.7421,4.6922,1.09e-07,6.15e-09,117.57,106.97,104.57,270.0,2.0
7.6,5630.899,70.467,2.7271,4.6922,1.09e-07,6.1e-09,117.57,106.96,104.57,270.0,2.0
8.7,5631.962,65.492,2.7121,4.5671,1.09e-07,6.03e-09,117.57,106.96,104.57,270.0,2.0
9.8,5633.035,73.198,2.7346,4.6922,1.09e-07,6.05e-09,117.56,106.95,104.58,270.0,2.0
10.9,5634.12,68.846,2.7403,4.6297,1.09e-07,6.03e-09,117.56,106.95,104.58,269.99,2.0
12.0,5635.208,69.894,2.7121,4.5671,1.1e-07,6.06e-09,117.56,106.95,104.58,270.0,2.0
13.0,5636.269,67.271,2.7037,4.6922,1.09e-07,6.09e-09,117.56,106.95,104.58,270.0,2.0
14.1,5637.36,66.184,2.7487,4.6297,1.09e-07,6.15e-09,117.56,106.94,104.58,270.0,2.0
15.2,5638.477,70.678,2.7515,4.5671,1.09e-07,6.09e-09,117.56,106.94,104.57,270.0,2.0
16.4,5639.618,68.333,2.7299,4.6609,1.09e-07,6.12e-09,117.56,106.94,104.57,270.0,2.0
17.4,5640.698,69.488,2.8228,4.5984,1.1e-07,5.98e-09,117.56,106.94,104.57,270.0,2.0
18.5,5641.763,66.961,2.7487,4.5984,1.11e-07,5.99e-09,117.55,106.94,104.58,269.99,2.0
19.6,5642.844,64.293,2.8097,4.6609,1.12e-07,6.02e-09,117.55,106.94,104.58,269.99,2.0
20.7,5643.93,66.31,2.7815,4.7235,1.11e-07,6.04e-09,117.57,106.94,104.58,269.99,2.0
21.8,5645.008,69.372,2.805,4.6609,1.1e-07,6.08e-09,117.56,106.95,104.58,269.99,2.0
22.8,5646.067,66.886,2.7346,4.5358,1.1e-07,5.99e-09,117.56,106.95,104.58,270.0,2.0
23.9,5647.156,65.329,2.7891,4.5358,1.1e-07,6.05e-09,117.56,106.95,104.58,270.0,2.0
25.0,5648.239,68.98,2.7431,4.4733,1.1e-07,5.98e-09,117.56,106.95,104.57,269.99,2.0
26.1,5649.314,64.616,2.7778,4.5671,1.1e-07,5.89e-09,117.56,106.96,104.57,270.0,2.0
27.1,5650.374,64.292,2.76,4.6609,1.1e-07,5.91e-09,117.56,106.96,104.58,269.99,2.0
28.2,5651.497,65.014,2.7618,4.5358,1.1e-07,5.94e-09,117.57,106.96,104.58,270.0,2.0
