block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,6296.177,158.387,3.277,4.5045,1.1e-07,1.22e-08,124.03,99.03,101.95,269.99,2.8
1.0,6297.212,139.377,3.293,4.1917,1.1e-07,1.2e-08,124.03,99.02,101.95,269.99,2.8
2.1,6298.257,151.337,3.277,4.4733,1.1e-07,1.19e-08,124.03,99.03,101.96,270.0,2.8
3.1,6299.295,156.492,3.3099,4.4733,1.1e-07,1.19e-08,124.03,99.03,101.95,270.01,2.8
4.2,6300.353,146.136,3.2808,4.3794,1.1e-07,1.19e-08,124.03,99.03,101.95,270.01,2.8
5.2,6301.388,154.267,3.2911,4.5045,1.09e-07,1.2e-08,124.03,99.02,101.95,270.0,2.8
6.3,6302.443,156.432,3.2836,4.5045,1.09e-07,1.2e-08,124.03,99.02,101.95,269.99,2.4
7.3,6303.477,141.037,3.187,4.442,1.1e-07,1.2e-08,124.03,99.02,101.95,269.99,2.4
8.3,6304.515,139.858,3.2395,4.2543,1.1e-07,1.21e-08,124.03,99.02,101.95,269.99,2.4
9.4,6305.567,161.524,3.3202,4.442,1.11e-07,1.18e-08,124.03,99.02,101.95,270.01,2.4
10.4,6306.605,153.251,3.277,4.442,1.1e-07,1.19e-08,124.03,99.02,101.95,270.01,2.4
11.5,6307.649,154.298,3.2827,4.5045,1.1e-07,1.2e-08,124.03,99.02,101.95,270.0,2.4
12.5,6308.681,157.128,3.2498,4.4107,1.1e-07,1.2e-08,124.03,99.02,101.95,270.0,2.4
13.5,6309.712,158.122,3.1663,4.3168,1.1e-07,1.19e-08,124.02,99.03,101.95,269.99,2.4
14.6,6310.77,162.231,3.2968,4.5358,1.1e-07,1.21e-08,124.02,99.02,101.95,269.99,2.4
15.6,6311.804,150.548,3.3043,4.3481,1.1e-07,1.19e-08,124.02,99.02,101.95,270.0,2.4
16.7,6312.87,136.301,3.1457,4.4107,1.1e-07,1.2e-08,124.02,99.03,101.95,270.01,2.8
17.7,6313.901,155.35,3.2742,4.2856,1.09e-07,1.19e-08,124.02,99.03,101.94,270.0,2.8
