block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,225.699,87.502,2.576,6.7255,1.18e-07,1.3e-08,126.7,108.47,98.48,269.99,6.0
1.1,226.751,101.183,2.6323,6.444,1.18e-07,1.3e-08,126.7,108.47,98.47,269.99,6.0
2.1,227.793,89.693,2.6445,6.4753,1.18e-07,1.3e-08,126.7,108.47,98.47,270.0,6.0
3.2,228.85,88.043,2.6783,6.4753,1.18e-07,1.3e-08,126.7,108.48,98.48,270.01,6.0
4.2,229.884,89.933,2.8482,5.3179,1.18e-07,1.3e-08,126.71,108.48,98.47,270.01,6.0
5.2,230.945,86.746,2.5394,6.5378,1.18e-07,1.29e-08,126.7,108.48,98.48,270.0,6.0
6.3,231.979,61.557,2.6267,6.444,1.18e-07,1.3e-08,126.7,108.48,98.48,269.99,6.0
7.3,233.033,90.078,2.5338,6.4127,1.19e-07,1.3e-08,126.71,108.47,98.48,269.99,5.6
8.4,234.073,89.374,2.6051,6.5065,1.18e-07,1.3e-08,126.71,108.47,98.47,269.99,5.6
9.4,235.13,81.502,2.5939,6.444,1.18e-07,1.3e-08,126.71,108.48,98.48,270.01,5.6
10.5,236.171,91.322,2.6286,6.3501,1.19e-07,1.3e-08,126.71,108.48,98.47,270.02,5.6
11.5,237.201,85.063,2.6183,6.663,1.18e-07,1.3e-08,126.71,108.47,98.48,270.01,5.6
12.6,238.254,86.792,2.623,6.444,1.18e-07,1.3e-08,126.71,108.47,98.48,270.0,5.6
13.6,239.292,88.99,2.562,6.5065,1.18e-07,1.3e-08,126.71,108.47,98.48,269.99,5.6
14.7,240.354,89.075,2.6136,6.4753,1.18e-07,1.3e-08,126.71,108.47,98.48,269.99,5.6
15.7,241.386,87.228,2.622,6.4753,1.19e-07,1.29e-08,126.71,108.47,98.48,270.0,5.6
16.8,242.45,87.319,2.6117,6.444,1.19e-07,1.3e-08,126.7,108.47,98.48,270.0,5.6
