block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,6040.676,117.687,3.247,4.1604,1.14e-07,8.04e-09,122.95,100.98,96.83,269.99,4.0
1.0,6041.704,107.928,3.2874,4.3794,1.14e-07,8.08e-09,122.95,100.97,96.83,269.99,4.0
2.1,6042.736,165.673,3.3174,4.5671,1.14e-07,8.07e-09,122.95,100.97,96.83,270.0,4.0
3.1,6043.791,169.966,3.3005,5.005,1.15e-07,8.05e-09,122.94,100.98,96.83,270.01,4.0
4.2,6044.831,172.294,3.1175,4.8173,1.14e-07,8.04e-09,122.95,100.97,96.83,270.01,4.0
5.2,6045.876,175.397,3.1691,4.4733,1.14e-07,8.03e-09,122.95,100.98,96.83,269.99,4.0
6.2,6046.92,100.055,3.1184,4.1917,1.14e-07,8.03e-09,122.95,100.98,96.83,269.99,4.0
7.3,6047.95,170.582,3.2536,4.5045,1.14e-07,8.05e-09,122.95,100.98,96.83,269.99,4.0
8.3,6049.001,180.116,3.1748,4.0353,1.14e-07,8.05e-09,122.94,100.98,96.83,270.0,4.0
9.4,6050.036,168.879,3.2142,4.8486,1.14e-07,8.04e-09,122.94,100.98,96.83,270.01,4.0
10.4,6051.083,179.123,2.4653,4.9425,1.14e-07,8.02e-09,122.94,100.98,96.83,270.0,4.0
11.4,6052.117,176.881,3.309,4.5358,1.14e-07,8.05e-09,122.94,100.98,96.83,270.0,4.0
12.5,6053.18,167.879,3.2573,4.3481,1.14e-07,8.04e-09,122.94,100.98,96.83,269.99,4.0
13.5,6054.213,178.207,3.2714,3.9415,1.14e-07,8.04e-09,122.94,100.98,96.83,269.99,4.0
14.6,6055.248,134.662,3.2245,4.1604,1.14e-07,8.04e-09,122.93,100.98,96.83,269.99,4.0
15.6,6056.302,177.409,3.2583,4.3794,1.14e-07,8.03e-09,122.93,100.98,96.83,270.01,4.0
16.7,6057.337,172.443,3.2029,4.0353,1.14e-07,8.03e-09,122.92,100.98,96.83,270.02,4.0
17.7,6058.395,166.045,3.2733,4.5984,1.14e-07,8e-09,122.92,100.97,96.83,270.01,4.0
18.8,6059.439,170.364,3.2564,4.0979,1.14e-07,8.03e-09,122.92,100.97,96.83,270.01,4.0
19.8,6060.514,186.268,3.1569,3.9727,1.14e-07,8.03e-09,122.92,100.98,96.83,270.0,4.0
20.9,6061.587,170.906,3.1926,3.9102,1.14e-07,8.05e-09,122.92,100.98,96.83,270.0,4.0
22.0,6062.641,175.566,3.2376,4.1917,1.14e-07,8.08e-09,122.93,100.98,96.83,270.0,4.0
23.0,6063.715,173.285,3.2236,4.7861,1.14e-07,8.07e-09,122.92,100.98,96.83,269.99,4.0
24.1,6064.748,160.284,3.2733,3.9415,1.14e-07,8.01e-09,122.92,100.98,96.83,269.99,4.0
25.1,6065.801,162.59,3.2536,4.1917,1.16e-07,8.01e-09,122.92,100.98,96.83,269.99,4.0
26.2,6066.835,169.773,3.2526,3.8789,1.14e-07,8.07e-09,122.92,100.98,96.83,270.0,4.0
27.2,6067.88,175.213,3.201,3.9727,1.14e-07,8.1e-09,122.93,100.98,96.83,270.0,4.0
28.2,6068.916,139.677,3.1729,4.0353,1.14e-07,8.1e-09,122.93,100.98,96.83,270.01,4.0
29.3,6069.947,169.109,3.2001,3.9102,1.14e-07,8.05e-09,122.93,100.98,96.83,269.99,4.0
30.3,6071.005,176.79,3.1213,4.004,1.14e-07,8e-09,122.93,100.98,96.83,269.99,4.0
31.4,6072.049,171.191,3.2555,4.1917,1.14e-07,8.06e-09,122.93,100.98,96.83,270.0,4.0
32.4,6073.097,176.828,3.1363,3.9415,1.14e-07,8.02e-09,122.93,100.98,96.83,270.0,4.0
33.5,6074.138,172.589,3.1794,3.9415,1.14e-07,8.04e-09,122.93,100.98,96.83,270.0,4.0
34.5,6075.194,172.137,3.248,4.1292,1.14e-07,8.07e-09,122.93,100.98,96.83,270.0,4.0
35.6,6076.231,175.835,3.2029,3.9727,1.14e-07,8.08e-09,122.93,100.98,96.83,270.0,4.0
36.6,6077.282,170.452,3.1907,3.8163,1.14e-07,8.03e-09,122.93,100.98,96.83,269.99,4.4
37.6,6078.314,181.645,3.1963,4.2543,1.14e-07,8.03e-09,122.93,100.98,96.83,269.99,4.4
38.7,6079.356,171.083,3.11,4.004,1.14e-07,8.06e-09,122.93,100.98,96.83,270.0,4.4
39.7,6080.404,171.274,3.1231,4.004,1.14e-07,8e-09,122.93,100.98,96.83,270.0,4.4
40.8,6081.438,167.879,3.1738,5.1302,1.14e-07,8.12e-09,122.92,100.98,96.83,269.99,4.4
41.8,6082.502,175.614,3.2639,4.4107,1.14e-07,8.09e-09,122.92,100.98,96.83,270.0,4.4
