block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,8711.282,167.836,3.2104,3.9102,1.12e-07,7.84e-09,125.69,97.01,96.28,270.0,4.0
1.0,8712.316,170.375,3.2883,4.4107,1.13e-07,7.83e-09,125.69,97.01,96.28,270.01,4.0
2.1,8713.358,171.2,3.3775,4.004,1.13e-07,7.77e-09,125.7,97.01,96.28,269.99,4.0
3.2,8714.438,164.899,3.171,4.0979,1.12e-07,7.74e-09,125.69,97.02,96.28,269.99,4.0
4.2,8715.511,165.426,3.3502,4.8799,1.13e-07,7.77e-09,125.7,97.02,96.28,269.99,4.0
5.3,8716.59,159.484,3.3793,4.7235,1.12e-07,7.81e-09,125.7,97.01,96.28,270.01,4.0
6.3,8717.622,112.034,3.2667,4.5358,1.12e-07,7.82e-09,125.7,97.01,96.28,270.01,4.4
7.4,8718.655,167.805,3.3183,4.2543,1.12e-07,7.84e-09,125.71,97.01,96.28,270.01,4.4
8.4,8719.715,106.686,3.3343,4.6922,1.12e-07,7.83e-09,125.7,97.01,96.28,269.99,4.4
9.5,8720.746,162.027,3.1663,4.5045,1.13e-07,7.83e-09,125.7,97.01,96.28,269.99,4.4
10.5,8721.803,165.672,2.4437,4.7548,1.12e-07,7.81e-09,125.7,97.01,96.28,269.99,4.4
11.6,8722.838,166.997,3.2104,4.6922,1.14e-07,7.74e-09,125.7,97.01,96.28,269.99,4.4
12.6,8723.886,169.001,2.5498,4.5984,1.12e-07,7.77e-09,125.7,97.01,96.28,270.0,4.4
13.6,8724.92,163.968,3.278,4.442,1.12e-07,7.78e-09,125.7,97.01,96.28,270.0,4.4
14.7,8725.953,157.19,3.3352,4.9738,1.12e-07,7.77e-09,125.69,97.01,96.28,270.0,4.4
15.7,8727.006,167.694,3.2301,4.1292,1.12e-07,7.75e-09,125.69,97.01,96.28,270.0,4.4
16.8,8728.047,167.269,3.3118,4.9738,1.12e-07,7.75e-09,125.69,97.01,96.28,270.0,4.0
17.8,8729.094,166.772,3.369,3.9727,1.13e-07,7.74e-09,125.68,97.01,96.28,269.99,4.0
18.9,8730.136,161.239,2.9927,4.3794,1.12e-07,7.77e-09,125.68,97.02,96.28,269.99,4.0
19.9,8731.189,117.094,3.3296,4.2856,1.13e-07,7.77e-09,125.68,97.01,96.28,270.0,4.0
20.9,8732.226,117.201,2.6764,4.2543,1.13e-07,7.78e-09,125.68,97.01,96.28,270.0,4.0
22.0,8733.282,163.986,3.2433,4.9425,1.13e-07,7.76e-09,125.67,97.01,96.28,270.0,4.0
23.0,8734.316,170.095,3.1353,4.4733,1.12e-07,7.76e-09,125.67,97.01,96.28,269.99,4.0
24.1,8735.35,170.115,3.0424,4.9738,1.12e-07,7.74e-09,125.67,97.01,96.28,269.99,4.0
25.1,8736.42,171.471,3.3643,4.7548,1.13e-07,7.74e-09,125.66,97.01,96.28,269.99,4.0
26.2,8737.495,140.64,2.5376,4.1917,1.13e-07,7.77e-09,125.66,97.01,96.28,270.0,4.0
27.3,8738.55,172.617,2.7299,4.8173,1.13e-07,7.76e-09,125.66,97.01,96.28,270.0,4.0
28.3,8739.622,130.003,2.9542,4.0666,1.12e-07,7.75e-09,125.68,97.01,96.28,269.99,4.0
29.4,8740.655,108.167,3.3596,4.8173,1.13e-07,7.77e-09,125.66,97.01,96.29,270.0,4.0
30.4,8741.717,172.32,3.3906,4.4733,1.13e-07,7.72e-09,125.66,97.01,96.28,269.99,4.0
31.5,8742.753,136.144,2.4822,4.5984,1.13e-07,7.72e-09,125.66,97.01,96.28,269.99,4.0
32.5,8743.813,168.457,3.3718,4.9738,1.13e-07,7.73e-09,125.66,97.01,96.28,270.0,4.0
33.6,8744.846,171.406,3.3099,3.7225,1.12e-07,7.77e-09,125.67,97.01,96.28,270.01,4.0
34.6,8745.903,115.5,3.1992,3.9415,1.12e-07,7.73e-09,125.68,97.01,96.28,270.01,4.0
35.7,8746.937,150.213,3.2508,4.2856,1.13e-07,7.74e-09,125.67,97.01,96.28,270.0,4.0
36.7,8747.987,167.593,3.263,4.7861,1.12e-07,7.7e-09,125.67,97.01,96.28,269.99,4.4
37.7,8749.031,169.601,3.2817,4.5358,1.12e-07,7.72e-09,125.68,97.01,96.28,269.99,4.4
38.8,8750.078,164.358,3.2367,3.6287,1.12e-07,7.78e-09,125.68,97.01,96.28,269.99,4.4
39.8,8751.115,165.462,3.2855,4.7235,1.12e-07,7.82e-09,125.68,97.01,96.28,270.0,4.4
40.9,8752.15,169.267,3.3146,4.8799,1.12e-07,7.78e-09,125.67,97.01,96.28,269.99,4.4
41.9,8753.206,174.483,3.2264,4.2856,1.12e-07,7.78e-09,125.68,97.01,96.28,269.99,4.4
43.0,8754.241,141.987,3.3165,4.6297,1.13e-07,7.74e-09,125.68,97.01,96.28,270.0,4.4
44.0,8755.291,164.785,2.6755,4.9738,1.12e-07,7.72e-09,125.68,97.01,96.28,270.0,4.4
45.0,8756.324,168.232,3.3258,4.6922,1.12e-07,7.8e-09,125.68,97.01,96.28,270.01,4.4
46.1,8757.357,136.424,3.1851,4.4733,1.12e-07,7.79e-09,125.67,97.01,96.28,269.99,4.0
47.1,8758.429,169.352,2.5216,4.442,1.13e-07,7.75e-09,125.67,97.01,96.28,269.99,4.0
48.2,8759.5,123.732,3.2583,4.8486,1.12e-07,7.73e-09,125.67,97.01,96.28,269.99,4.0
49.3,8760.558,133.623,3.3352,4.1917,1.12e-07,7.76e-09,125.67,97.01,96.28,270.0,4.0
50.3,8761.617,169.581,2.5347,4.9738,1.12e-07,7.75e-09,125.66,97.01,96.28,270.01,4.0
51.4,8762.648,168.496,3.1719,4.5984,1.12e-07,7.72e-09,125.67,97.01,96.28,270.01,4.0
52.4,8763.702,164.693,3.2892,4.1292,1.12e-07,7.74e-09,125.67,97.01,96.28,269.99,4.0
53.5,8764.738,158.995,3.3822,4.3794,1.12e-07,7.78e-09,125.66,97.01,96.28,269.99,4.0
54.5,8765.796,166.774,3.3437,3.9415,1.12e-07,7.73e-09,125.67,97.01,96.28,269.99,4.0
55.5,8766.828,139.006,3.3249,4.6922,1.13e-07,7.7e-09,125.66,97.01,96.28,270.0,4.0
56.6,8767.881,168.487,3.2827,4.9738,1.12e-07,7.72e-09,125.67,97.01,96.28,270.0,4.0
57.6,8768.914,155.468,3.3624,4.5984,1.13e-07,7.73e-09,125.66,97.01,96.28,270.01,4.0
58.7,8769.945,167.576,3.4206,4.9425,1.12e-07,7.74e-09,125.67,97.01,96.28,270.01,4.0
59.7,8770.998,169.23,3.309,4.6609,1.12e-07,7.72e-09,125.67,97.01,96.28,269.99,4.0
