block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,5004.966,144.987,2.8294,2.9717,1.2e-07,7.04e-09,128.28,104.61,97.32,270.0,6.0
1.0,5006.002,142.407,2.8707,2.9092,1.19e-07,7.02e-09,128.28,104.61,97.32,269.99,6.0
2.1,5007.062,143.106,2.8501,2.9717,1.2e-07,7.02e-09,128.28,104.62,97.32,269.99,6.0
3.1,5008.101,145.088,2.8247,3.0343,1.2e-07,6.99e-09,128.3,104.62,97.32,270.0,6.0
4.2,5009.157,141.677,2.8623,3.003,1.2e-07,7.03e-09,128.28,104.62,97.32,270.01,6.0
5.2,5010.194,143.087,2.851,3.003,1.2e-07,7.01e-09,128.28,104.62,97.32,270.01,6.0
6.3,5011.227,141.875,2.8454,3.0343,1.2e-07,7.04e-09,128.28,104.62,97.32,270.01,6.0
7.3,5012.276,141.908,2.8651,3.0969,1.2e-07,6.97e-09,128.29,104.63,97.32,269.99,6.0
8.3,5013.307,141.404,2.8566,3.003,1.2e-07,7e-09,128.29,104.63,97.32,269.99,6.0
9.4,5014.357,146.059,2.8679,3.003,1.2e-07,7.01e-09,128.3,104.63,97.32,269.99,6.0
10.4,5015.394,142.351,2.8707,2.9717,1.2e-07,7.04e-09,128.29,104.63,97.32,269.99,6.0
11.5,5016.427,141.828,2.8482,3.0969,1.2e-07,7.01e-09,128.3,104.63,97.32,270.0,6.0
12.5,5017.488,141.233,2.8641,3.0656,1.2e-07,7.05e-09,128.3,104.64,97.32,270.01,6.0
13.6,5018.52,141.538,2.8679,3.0343,1.2e-07,7.02e-09,128.3,104.65,97.32,270.01,6.0
14.6,5019.567,143.635,2.8435,3.003,1.2e-07,7e-09,128.3,104.64,97.32,270.01,6.0
15.6,5020.607,141.997,2.8913,3.0656,1.2e-07,7.03e-09,128.3,104.64,97.32,269.99,6.0
16.7,5021.662,142.308,2.8491,3.0969,1.2e-07,7.03e-09,128.3,104.63,97.32,269.99,6.0
17.8,5022.724,140.578,2.8397,3.0656,1.2e-07,7.01e-09,128.3,104.64,97.32,269.99,6.0
18.8,5023.799,142.877,2.8791,2.8779,1.2e-07,7.02e-09,128.3,104.63,97.32,269.99,6.0
19.9,5024.872,142.733,2.8791,3.0343,1.2e-07,7.01e-09,128.3,104.63,97.32,270.0,6.0
20.9,5025.913,139.275,2.8829,3.0343,1.2e-07,7.05e-09,128.29,104.63,97.32,270.02,6.0
22.0,5026.964,144.236,2.8688,3.0656,1.2e-07,7.03e-09,128.29,104.63,97.32,269.99,6.0
23.0,5027.997,142.911,2.8341,3.003,1.2e-07,6.99e-09,128.29,104.63,97.32,269.99,6.0
24.1,5029.054,138.765,2.8557,2.9717,1.2e-07,7.05e-09,128.29,104.63,97.32,269.99,6.0
25.1,5030.089,141.974,2.866,3.0656,1.2e-07,7.03e-09,128.29,104.63,97.32,270.01,6.0
26.2,5031.127,142.23,2.8632,3.0656,1.2e-07,7.03e-09,128.29,104.63,97.32,270.0,6.0
27.2,5032.174,140.807,2.866,3.1281,1.2e-07,7.01e-09,128.29,104.63,97.32,270.01,6.0
28.3,5033.217,142.166,2.8688,3.0969,1.2e-07,7.03e-09,128.29,104.63,97.32,269.99,6.0
29.3,5034.268,139.784,2.8754,3.0969,1.2e-07,7.05e-09,128.3,104.63,97.32,269.99,6.0
30.3,5035.305,140.203,2.866,2.9092,1.2e-07,7.03e-09,128.29,104.63,97.32,270.0,6.0
31.4,5036.354,143.383,2.8735,3.0969,1.2e-07,7.04e-09,128.29,104.63,97.32,270.0,6.0
32.4,5037.389,138.396,2.8913,3.0656,1.2e-07,7e-09,128.28,104.64,97.32,270.0,5.6
33.5,5038.423,140.008,2.8651,3.0343,1.2e-07,7.03e-09,128.3,104.64,97.32,270.0,5.6
34.5,5039.49,141.34,2.8707,2.9717,1.2e-07,7.03e-09,128.3,104.63,97.32,270.0,5.6
35.6,5040.521,142.416,2.8632,3.0969,1.2e-07,7e-09,128.29,104.63,97.32,269.99,5.6
36.6,5041.569,142.6,2.8651,3.0969,1.2e-07,7.02e-09,128.3,104.63,97.32,269.99,5.6
37.6,5042.611,147.272,2.8641,3.0656,1.2e-07,7.02e-09,128.3,104.63,97.32,270.0,5.6
38.7,5043.664,141.852,2.8632,3.0969,1.2e-07,7.03e-09,128.3,104.64,97.32,270.0,5.6
39.8,5044.724,140.533,2.8745,3.0343,1.2e-07,6.99e-09,128.3,104.63,97.32,270.0,5.6
40.8,5045.8,140.75,2.8791,3.0656,1.2e-07,7.01e-09,128.3,104.63,97.32,270.0,5.6
41.9,5046.872,142.7,2.8407,3.0343,1.2e-07,7.01e-09,128.29,104.63,97.32,269.99,5.6
43.0,5047.95,139.328,2.8576,3.0656,1.2e-07,6.99e-09,128.3,104.63,97.32,270.0,5.6
44.0,5048.988,143.255,2.8397,3.003,1.2e-07,7.03e-09,128.3,104.63,97.32,269.99,5.6
45.1,5050.02,141.852,2.8801,3.0343,1.2e-07,7.05e-09,128.3,104.63,97.32,270.0,5.6
46.1,5051.07,140.032,2.8388,3.0656,1.2e-07,7.02e-09,128.29,104.63,97.32,270.01,5.6
