block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,866.934,111.725,2.8923,4.8173,1.08e-07,6.02e-09,122.12,109.63,106.58,270.0,2.8
1.0,867.966,110.247,2.9054,4.7548,1.08e-07,5.98e-09,122.12,109.64,106.59,270.01,2.8
2.1,869.02,112.913,2.8491,4.6922,1.08e-07,6.05e-09,122.13,109.64,106.59,270.01,2.8
3.1,870.073,107.269,2.8688,4.8799,1.08e-07,6.11e-09,122.13,109.64,106.59,270.0,2.8
4.2,871.149,108.636,2.8885,4.8799,1.08e-07,6.07e-09,122.13,109.64,106.58,269.99,2.8
5.3,872.216,110.277,2.8397,4.7861,1.09e-07,6.02e-09,122.13,109.63,106.58,269.99,2.4
6.4,873.285,101.793,2.9139,4.7548,1.08e-07,6.07e-09,122.13,109.64,106.58,269.99,2.4
7.4,874.348,105.127,2.8716,4.8173,1.08e-07,6.02e-09,122.14,109.64,106.59,270.01,2.4
8.4,875.38,104.93,2.8623,4.8173,1.08e-07,6.02e-09,122.14,109.64,106.59,270.01,2.4
9.5,876.435,101.116,2.8501,4.6922,1.08e-07,6.04e-09,122.14,109.63,106.59,270.0,2.4
10.5,877.468,115.166,2.927,4.9112,1.08e-07,6.11e-09,122.14,109.64,106.59,269.99,2.4
11.6,878.518,96.735,2.8698,4.6922,1.08e-07,6.06e-09,122.14,109.64,106.59,270.0,2.4
12.6,879.551,110.558,2.9261,4.8173,1.09e-07,6.01e-09,122.14,109.63,106.58,270.01,2.4
13.6,880.583,109.056,2.8519,4.8799,1.08e-07,5.97e-09,122.14,109.64,106.58,270.0,2.4
14.7,881.631,113.006,2.8472,4.7235,1.08e-07,6.06e-09,122.14,109.63,106.59,269.99,2.4
15.7,882.674,106.399,2.8848,4.7235,1.08e-07,6.09e-09,122.13,109.64,106.59,270.0,2.4
16.8,883.724,111.756,2.8848,4.7235,1.09e-07,6.09e-09,122.13,109.64,106.58,269.99,2.4
17.8,884.763,108.57,2.8895,4.7861,1.08e-07,6e-09,122.14,109.63,106.58,270.0,2.4
