block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,4203.279,117.166,2.9777,3.5661,1.09e-07,6.3e-09,125.5,100.72,106.58,270.0,1.6
1.1,4204.33,111.285,2.9589,3.5661,1.09e-07,6.27e-09,125.5,100.72,106.59,269.99,1.6
2.1,4205.365,116.54,2.9692,3.5348,1.09e-07,6.32e-09,125.51,100.72,106.59,270.0,1.6
3.1,4206.416,117.058,2.9645,3.5348,1.09e-07,6.39e-09,125.5,100.72,106.59,270.01,1.6
4.2,4207.455,117.76,2.9467,3.5348,1.09e-07,6.38e-09,125.5,100.73,106.59,270.0,1.6
5.2,4208.501,112.885,2.9645,3.5661,1.09e-07,6.3e-09,125.5,100.73,106.59,270.0,1.6
6.3,4209.556,114.592,2.9542,3.5348,1.09e-07,6.28e-09,125.5,100.73,106.59,269.99,1.6
7.3,4210.627,113.579,2.958,3.5348,1.09e-07,6.31e-09,125.5,100.73,106.59,269.99,1.6
8.4,4211.683,114.586,2.973,3.5348,1.09e-07,6.25e-09,125.5,100.73,106.59,270.0,1.6
9.5,4212.76,114.91,2.9758,3.5348,1.09e-07,6.3e-09,125.5,100.73,106.58,270.0,1.6
10.5,4213.81,115.318,2.9711,3.5035,1.09e-07,6.39e-09,125.5,100.73,106.59,270.01,1.6
11.6,4214.845,116.714,2.957,3.5348,1.09e-07,6.36e-09,125.49,100.74,106.59,270.0,1.6
12.6,4215.878,114.633,2.9805,3.5348,1.09e-07,6.3e-09,125.49,100.74,106.59,269.99,1.6
13.6,4216.923,114.557,2.9523,3.5035,1.09e-07,6.26e-09,125.49,100.74,106.59,269.99,1.6
14.7,4217.96,117.954,2.9552,3.5348,1.09e-07,6.29e-09,125.49,100.74,106.58,269.99,1.6
15.7,4219.007,115.638,2.957,3.5035,1.09e-07,6.38e-09,125.49,100.73,106.58,269.99,1.6
16.8,4220.039,114.985,2.9692,3.5035,1.09e-07,6.37e-09,125.48,100.73,106.58,270.01,1.6
