block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,749.106,60.64,2.6811,4.8173,1.12e-07,6.24e-09,117.18,108.69,105.42,270.0,2.0
1.0,750.142,58.273,2.6877,4.9112,1.12e-07,6.31e-09,117.19,108.69,105.42,270.0,2.0
2.1,751.183,61.283,2.6661,4.8173,1.12e-07,6.24e-09,117.19,108.69,105.42,270.0,2.0
3.1,752.23,65.727,2.6755,4.8486,1.12e-07,6.19e-09,117.19,108.69,105.43,269.99,2.0
4.2,753.266,60.674,2.6933,4.8173,1.12e-07,6.19e-09,117.19,108.69,105.42,269.99,2.0
5.2,754.318,61.562,2.6671,4.8486,1.11e-07,6.22e-09,117.2,108.68,105.43,270.0,2.0
6.3,755.356,62.705,2.6924,4.8486,1.12e-07,6.3e-09,117.2,108.68,105.42,270.01,2.0
7.3,756.413,58.997,2.6849,4.8173,1.11e-07,6.24e-09,117.19,108.68,105.43,270.0,2.0
8.3,757.446,62.833,2.6642,4.8173,1.12e-07,6.2e-09,117.19,108.68,105.42,270.0,2.0
9.4,758.477,63.861,2.7008,4.8173,1.12e-07,6.16e-09,117.2,108.67,105.42,269.99,2.0
10.4,759.523,64.055,2.6877,4.8173,1.12e-07,6.2e-09,117.21,108.67,105.43,269.99,2.0
11.5,760.557,59.071,2.6793,4.8799,1.12e-07,6.29e-09,117.21,108.67,105.42,270.0,2.0
12.5,761.615,62.14,2.7112,4.8799,1.11e-07,6.21e-09,117.2,108.67,105.43,270.01,2.0
13.6,762.656,63.51,2.7008,4.8173,1.12e-07,6.27e-09,117.2,108.67,105.42,270.01,2.0
14.6,763.705,61.902,2.6999,4.8486,1.12e-07,6.24e-09,117.2,108.66,105.42,270.0,2.0
15.6,764.743,63.018,2.6849,4.7861,1.12e-07,6.19e-09,117.2,108.66,105.43,269.99,2.0
16.7,765.814,57.602,2.6755,4.8799,1.12e-07,6.16e-09,117.19,108.65,105.42,269.99,2.0
17.8,766.869,60.596,2.668,4.8799,1.12e-07,6.2e-09,117.19,108.65,105.42,270.0,2.0
18.8,767.932,59.773,2.6596,4.8799,1.11e-07,6.3e-09,117.19,108.65,105.43,270.01,2.0
19.9,769.003,57.288,2.6755,4.8486,1.12e-07,6.26e-09,117.19,108.65,105.43,270.01,2.0
20.9,770.053,61.464,2.6652,4.8799,1.12e-07,6.18e-09,117.19,108.65,105.43,270.01,2.0
22.0,771.105,62.132,2.6755,4.8486,1.12e-07,6.25e-09,117.19,108.65,105.43,269.99,2.0
23.0,772.147,56.997,2.6971,4.8173,1.12e-07,6.17e-09,117.19,108.65,105.43,269.98,2.0
24.1,773.178,59.897,2.6999,4.7861,1.12e-07,6.16e-09,117.19,108.66,105.42,269.99,2.0
25.1,774.227,60.893,2.7083,4.8173,1.12e-07,6.2e-09,117.19,108.66,105.42,270.0,2.0
26.2,775.265,62.672,2.6689,4.8173,1.12e-07,6.29e-09,117.19,108.66,105.42,270.0,2.0
27.2,776.314,62.291,2.6774,4.8173,1.12e-07,6.24e-09,117.19,108.66,105.42,270.0,2.0
28.2,777.348,59.355,2.6633,4.8486,1.11e-07,6.17e-09,117.19,108.67,105.43,270.0,2.0
29.3,778.385,62.41,2.6708,4.7548,1.12e-07,6.17e-09,117.2,108.66,105.42,270.0,2.0
30.3,779.433,58.154,2.683,4.7861,1.11e-07,6.21e-09,117.19,108.67,105.43,270.0,2.0
31.4,780.472,61.78,2.6746,4.7548,1.11e-07,6.26e-09,117.2,108.66,105.42,269.99,2.0
32.4,781.52,59.384,2.7046,4.7548,1.11e-07,6.24e-09,117.2,108.66,105.43,269.99,2.0
33.5,782.557,59.722,2.6802,4.8173,1.12e-07,6.18e-09,117.2,108.66,105.42,269.99,2.0
34.5,783.619,61.705,2.6567,4.7861,1.11e-07,6.24e-09,117.2,108.66,105.42,270.0,2.0
35.6,784.657,61.101,2.6868,4.7548,1.12e-07,6.17e-09,117.2,108.65,105.43,270.01,2.0
36.6,785.717,60.519,2.6962,4.7548,1.12e-07,6.16e-09,117.21,108.65,105.42,270.0,2.0
37.6,786.751,59.5,2.683,4.7861,1.12e-07,6.22e-09,117.2,108.65,105.43,269.99,2.0
38.7,787.823,60.207,2.6633,4.7861,1.12e-07,6.27e-09,117.2,108.65,105.43,269.99,2.0
39.8,788.885,62.451,2.6746,4.6922,1.11e-07,6.23e-09,117.2,108.66,105.42,269.99,2.0
40.8,789.95,57.392,2.7046,4.7861,1.12e-07,6.15e-09,117.19,108.66,105.42,269.99,2.0
41.9,791.018,60.186,2.6971,4.7548,1.12e-07,6.15e-09,117.19,108.66,105.42,270.0,2.0
43.0,792.057,61.007,2.7252,4.7861,1.12e-07,6.19e-09,117.2,108.66,105.43,270.02,2.0
44.0,793.112,62.337,2.6783,4.8486,1.12e-07,6.15e-09,117.19,108.66,105.43,270.02,2.0
45.0,794.147,62.119,2.6933,4.7861,1.12e-07,6.19e-09,117.19,108.66,105.43,270.0,2.0
46.1,795.178,58.269,2.6943,4.6609,1.11e-07,6.26e-09,117.19,108.67,105.43,270.0,2.0
47.1,796.243,60.494,2.6924,4.7548,1.11e-07,6.26e-09,117.19,108.66,105.43,270.0,2.0
48.2,797.274,60.475,2.6896,4.7861,1.12e-07,6.15e-09,117.19,108.66,105.43,270.0,2.0
49.2,798.326,60.714,2.6567,4.7548,1.11e-07,6.13e-09,117.19,108.66,105.42,269.99,2.0
50.3,799.363,62.552,2.6999,4.7861,1.12e-07,6.23e-09,117.19,108.66,105.43,269.99,2.0
51.3,800.418,58.397,2.6811,4.7861,1.11e-07,6.26e-09,117.19,108.66,105.43,270.0,2.0
52.3,801.454,62.812,2.6764,4.7861,1.12e-07,6.24e-09,117.2,108.66,105.42,270.01,2.0
53.4,802.508,62.477,2.6868,4.8173,1.12e-07,6.17e-09,117.2,108.65,105.42,270.01,2.0
54.4,803.548,58.082,2.6708,4.7861,1.12e-07,6.15e-09,117.2,108.65,105.43,270.0,2.0
55.5,804.578,61.405,2.6755,4.8486,1.12e-07,6.19e-09,117.2,108.65,105.43,269.99,2.0
56.5,805.635,59.077,2.6783,4.7861,1.12e-07,6.12e-09,117.2,108.65,105.42,269.99,2.0
57.6,806.673,60.63,2.6474,4.7861,1.11e-07,6.2e-09,117.2,108.65,105.43,270.0,2.0
58.6,807.72,60.773,2.6398,4.7548,1.11e-07,6.24e-09,117.2,108.65,105.42,270.01,2.0
59.7,808.765,62.67,2.6483,4.7861,1.12e-07,6.25e-09,117.2,108.66,105.43,270.01,2.0
