block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,5784.378,123.275,3.0002,4.2543,1.09e-07,6.16e-09,125.64,104.39,103.35,270.0,3.2
1.0,5785.425,124.667,3.0124,4.1917,1.09e-07,6.16e-09,125.63,104.39,103.36,270.0,3.2
2.1,5786.464,122.692,2.9993,4.1917,1.1e-07,6.2e-09,125.64,104.39,103.36,269.99,3.2
3.1,5787.51,120.048,3.0171,4.223,1.09e-07,6.27e-09,125.63,104.38,103.36,270.0,3.2
4.2,5788.548,123.775,3.0049,4.1604,1.09e-07,6.27e-09,125.64,104.38,103.36,270.0,3.2
5.2,5789.58,119.935,3.0293,4.1604,1.1e-07,6.28e-09,125.63,104.38,103.36,270.01,3.2
6.3,5790.643,123.413,3.0058,4.1292,1.1e-07,6.26e-09,125.63,104.38,103.36,270.0,3.2
7.3,5791.678,124.769,3.0321,4.2543,1.1e-07,6.17e-09,125.62,104.39,103.35,270.0,3.2
8.3,5792.728,126.503,3.0199,4.1917,1.09e-07,6.16e-09,125.64,104.38,103.35,269.99,3.2
9.4,5793.764,121.838,3.0058,4.2543,1.09e-07,6.21e-09,125.64,104.38,103.36,269.99,3.2
10.4,5794.82,122.689,2.9955,4.2543,1.09e-07,6.28e-09,125.66,104.39,103.36,270.0,3.2
11.5,5795.861,123.746,3.0265,4.1917,1.09e-07,6.26e-09,125.64,104.39,103.35,270.0,3.2
12.5,5796.919,123.317,3.0077,4.0979,1.09e-07,6.16e-09,125.64,104.39,103.36,270.0,3.2
13.6,5797.958,124.58,2.9767,4.1604,1.09e-07,6.14e-09,125.64,104.4,103.36,270.0,3.2
14.6,5799.009,126.271,2.9936,4.1604,1.09e-07,6.21e-09,125.64,104.39,103.35,269.99,3.2
15.7,5800.051,126.267,2.9974,4.2856,1.09e-07,6.28e-09,125.65,104.39,103.35,269.99,3.2
16.7,5801.082,124.599,2.9965,4.223,1.09e-07,6.19e-09,125.66,104.39,103.35,270.0,3.2
17.8,5802.135,126.776,2.9955,4.223,1.09e-07,6.26e-09,125.65,104.39,103.35,270.01,3.2
18.8,5803.217,122.146,2.9927,4.1604,1.09e-07,6.25e-09,125.65,104.39,103.35,270.0,3.2
19.9,5804.272,123.074,2.9983,4.1917,1.1e-07,6.16e-09,125.65,104.39,103.35,269.99,3.2
21.0,5805.342,126.859,2.9861,4.1292,1.1e-07,6.14e-09,125.66,104.38,103.36,269.99,3.2
22.0,5806.385,123.659,2.9955,4.0979,1.1e-07,6.21e-09,125.66,104.39,103.36,269.99,3.2
23.1,5807.437,125.055,2.9918,4.1292,1.09e-07,6.28e-09,125.68,104.39,103.35,270.0,3.2
24.1,5808.47,123.863,3.0105,4.1292,1.1e-07,6.25e-09,125.67,104.39,103.35,270.01,3.2
25.1,5809.524,124.064,3.004,4.0666,1.09e-07,6.18e-09,125.67,104.39,103.36,270.0,3.2
26.2,5810.562,123.842,3.0068,4.1604,1.09e-07,6.15e-09,125.67,104.39,103.36,270.0,3.2
27.2,5811.625,122.988,2.9843,4.0979,1.1e-07,6.19e-09,125.68,104.39,103.36,269.99,3.2
28.3,5812.659,125.239,2.9946,4.1292,1.09e-07,6.14e-09,125.68,104.39,103.36,269.99,3.2
29.3,5813.716,124.391,3.0152,4.1292,1.1e-07,6.19e-09,125.68,104.39,103.36,269.99,3.2
30.4,5814.755,120.296,2.9739,3.9727,1.09e-07,6.25e-09,125.68,104.39,103.35,270.0,3.2
31.4,5815.787,127.659,2.9993,4.0979,1.1e-07,6.24e-09,125.68,104.39,103.36,270.0,3.2
32.5,5816.846,125.78,2.9889,4.0979,1.1e-07,6.18e-09,125.68,104.4,103.35,270.0,3.2
33.5,5817.877,125.374,2.9805,4.004,1.1e-07,6.14e-09,125.68,104.39,103.35,269.99,3.2
34.6,5818.931,125.195,2.9936,4.0666,1.1e-07,6.19e-09,125.68,104.39,103.36,269.99,3.2
35.6,5819.969,125.377,2.9721,4.0666,1.1e-07,6.25e-09,125.67,104.39,103.35,270.0,3.2
36.6,5821.021,123.899,2.9683,4.0666,1.1e-07,6.24e-09,125.67,104.38,103.35,270.0,3.2
37.7,5822.056,123.086,2.943,4.0353,1.1e-07,6.15e-09,125.68,104.39,103.35,270.0,3.2
38.7,5823.11,124.203,2.9692,4.0979,1.1e-07,6.24e-09,125.67,104.39,103.36,270.0,3.2
39.8,5824.143,126.239,2.9871,4.004,1.1e-07,6.17e-09,125.67,104.39,103.36,270.0,3.2
40.8,5825.214,124.87,2.9955,4.0979,1.09e-07,6.14e-09,125.67,104.39,103.36,270.0,3.2
41.9,5826.273,125.549,2.9777,4.004,1.1e-07,6.19e-09,125.68,104.39,103.35,269.99,3.2
43.0,5827.344,124.514,2.9965,4.0666,1.1e-07,6.26e-09,125.66,104.39,103.35,269.99,3.2
44.0,5828.421,126.714,2.9974,4.1292,1.1e-07,6.23e-09,125.66,104.39,103.36,270.0,3.2
45.1,5829.463,126.787,3.0209,4.0979,1.09e-07,6.15e-09,125.66,104.39,103.35,270.01,3.2
46.1,5830.511,124.634,2.9796,4.004,1.1e-07,6.13e-09,125.66,104.39,103.35,270.0,3.2
47.2,5831.545,125.905,2.9993,4.0666,1.1e-07,6.18e-09,125.67,104.39,103.35,270.0,3.2
48.2,5832.582,127.022,3.0274,4.004,1.1e-07,6.13e-09,125.67,104.39,103.36,269.99,3.2
49.3,5833.645,126.525,2.9955,4.1604,1.1e-07,6.17e-09,125.67,104.39,103.35,269.99,3.2
50.3,5834.678,124.768,3.0105,4.0666,1.1e-07,6.26e-09,125.67,104.39,103.35,269.99,3.2
51.4,5835.732,125.222,2.9739,4.0666,1.1e-07,6.24e-09,125.67,104.39,103.35,269.99,3.2
52.4,5836.768,128.372,2.9983,4.0666,1.1e-07,6.15e-09,125.68,104.39,103.35,270.0,3.2
53.4,5837.815,124.997,2.9936,4.1917,1.1e-07,6.14e-09,125.67,104.39,103.35,270.01,3.2
54.5,5838.848,127.962,3.0049,4.0979,1.1e-07,6.17e-09,125.67,104.39,103.35,270.0,3.2
55.5,5839.88,124.734,2.9843,4.0666,1.1e-07,6.25e-09,125.68,104.39,103.36,270.0,3.2
56.6,5840.931,126.388,2.9833,4.0353,1.1e-07,6.23e-09,125.68,104.39,103.36,269.99,2.8
57.6,5841.963,125.465,2.9805,3.9727,1.1e-07,6.14e-09,125.68,104.39,103.36,269.99,2.8
58.6,5843.015,125.465,2.9758,4.1604,1.1e-07,6.13e-09,125.68,104.39,103.35,270.0,2.8
59.7,5844.047,123.301,2.9946,4.004,1.1e-07,6.18e-09,125.67,104.39,103.35,270.0,2.8
