block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,15156.737,130.162,2.515,5.0989,1.14e-07,9.03e-09,126.09,97.3,95.12,270.0,4.4
1.1,15157.835,105.22,2.9364,5.224,1.14e-07,8.81e-09,126.08,97.3,95.12,270.01,4.4
2.2,15158.913,91.161,3.0227,5.005,1.15e-07,8.94e-09,126.09,97.3,95.12,270.01,4.4
3.3,15159.984,136.68,2.5385,5.3804,1.15e-07,8.94e-09,126.09,97.3,95.12,270.0,4.4
4.4,15161.046,127.436,2.7909,5.1614,1.14e-07,8.9e-09,126.1,97.31,95.12,270.0,4.4
5.4,15162.135,138.966,2.5,5.2553,1.13e-07,9.25e-09,126.09,97.31,95.12,269.99,4.4
6.5,15163.214,125.409,2.7703,5.1927,1.15e-07,8.88e-09,126.1,97.32,95.12,269.99,4.4
7.6,15164.293,92.413,2.8238,5.0989,1.15e-07,8.88e-09,126.1,97.31,95.13,270.0,4.4
8.7,15165.376,136.165,2.2297,4.8486,1.13e-07,8.92e-09,126.1,97.32,95.12,270.0,4.4
9.8,15166.446,136.054,2.6445,5.005,1.15e-07,9.02e-09,126.1,97.32,95.13,270.01,4.4
10.8,15167.541,94.667,3.0546,5.0676,1.14e-07,8.8e-09,126.11,97.32,95.12,270.01,4.4
12.0,15168.676,133.095,2.6295,5.1302,1.15e-07,8.98e-09,126.11,97.32,95.12,269.99,4.4
13.1,15169.787,110.313,2.7684,5.0989,1.15e-07,8.85e-09,126.11,97.32,95.12,269.99,4.4
14.2,15170.874,132.595,3.0105,5.0363,1.15e-07,8.92e-09,126.1,97.33,95.12,269.99,4.4
15.2,15171.942,137.299,2.8735,4.9112,1.14e-07,9.02e-09,126.11,97.33,95.13,270.0,4.4
16.3,15173.021,129.045,2.7581,4.9112,1.14e-07,8.92e-09,126.1,97.32,95.12,270.0,4.4
17.4,15174.097,103.776,2.9561,5.3804,1.14e-07,8.96e-09,126.1,97.32,95.12,269.99,4.4
18.5,15175.182,102.552,3.0546,5.005,1.14e-07,8.84e-09,126.1,97.32,95.13,269.99,4.4
19.6,15176.249,75.781,2.9308,4.9738,1.14e-07,8.98e-09,126.09,97.32,95.12,269.99,4.4
20.6,15177.336,120.038,2.9533,5.0989,1.13e-07,9.2e-09,126.09,97.31,95.12,269.99,4.4
21.7,15178.424,85.154,2.7008,4.9738,1.15e-07,8.93e-09,126.09,97.32,95.12,270.0,4.4
22.8,15179.518,112.628,2.5526,5.3179,1.13e-07,9.23e-09,126.09,97.31,95.13,270.01,4.4
23.9,15180.633,122.044,2.6642,4.9738,1.14e-07,8.89e-09,126.09,97.32,95.12,270.0,4.4
25.1,15181.752,134.143,2.7421,5.005,1.14e-07,9.28e-09,126.09,97.31,95.12,270.0,4.4
26.2,15182.848,129.139,2.942,5.1614,1.14e-07,8.96e-09,126.09,97.31,95.12,269.99,4.4
27.2,15183.933,79.822,3.0124,4.9738,1.14e-07,9.05e-09,126.09,97.32,95.12,269.99,4.4
28.3,15185.012,120.224,3.0941,4.8486,1.15e-07,8.99e-09,126.09,97.32,95.12,270.0,4.4
29.4,15186.088,128.416,2.577,5.4117,1.13e-07,9.02e-09,126.09,97.32,95.12,270.01,4.4
30.5,15187.17,108.345,2.9749,5.1614,1.14e-07,8.96e-09,126.1,97.32,95.13,270.01,4.4
31.5,15188.24,123.923,2.4212,4.7861,1.14e-07,8.92e-09,126.1,97.32,95.12,270.01,4.4
32.6,15189.329,94.381,2.9805,4.9738,1.13e-07,9.23e-09,126.1,97.32,95.12,269.99,4.4
33.7,15190.401,129.484,2.5835,5.5055,1.13e-07,9.24e-09,126.1,97.32,95.12,269.99,4.4
34.8,15191.479,105.112,2.6943,5.2553,1.15e-07,8.99e-09,126.1,97.32,95.12,269.99,4.4
35.9,15192.546,77.791,2.6727,5.2866,1.14e-07,9.1e-09,126.1,97.32,95.12,270.0,4.4
37.0,15193.682,69.794,3.0659,4.9112,1.14e-07,9.04e-09,126.1,97.32,95.12,270.0,4.4
38.1,15194.794,142.879,2.6136,5.0363,1.14e-07,8.99e-09,126.1,97.32,95.12,270.0,4.4
39.2,15195.884,106.633,2.9514,5.1302,1.13e-07,9.04e-09,126.11,97.32,95.12,270.0,4.4
40.3,15196.951,106.13,2.4747,5.2866,1.14e-07,8.83e-09,126.11,97.32,95.12,270.0,4.4
41.3,15198.035,101.574,2.9918,5.005,1.15e-07,9.11e-09,126.1,97.31,95.12,270.0,4.4
42.4,15199.112,135.052,3.0987,5.005,1.14e-07,8.92e-09,126.1,97.32,95.12,269.99,4.4
43.5,15200.188,93.581,2.5235,5.2553,1.14e-07,8.98e-09,126.1,97.32,95.12,269.99,4.4
44.6,15201.285,96.323,2.2804,4.8173,1.15e-07,9.01e-09,126.09,97.32,95.12,269.99,4.4
45.7,15202.368,141.697,2.4315,4.8799,1.13e-07,9.05e-09,126.1,97.32,95.12,270.01,4.4
46.7,15203.432,91.182,2.7215,5.005,1.13e-07,9.24e-09,126.09,97.32,95.12,270.01,4.4
47.8,15204.508,100.703,2.9899,5.005,1.14e-07,9e-09,126.09,97.32,95.12,270.0,4.4
48.9,15205.599,102.703,3.08,4.8173,1.13e-07,8.92e-09,126.09,97.32,95.12,269.99,4.4
50.0,15206.721,105.954,2.8613,5.0989,1.15e-07,8.69e-09,126.09,97.32,95.13,269.99,4.4
51.1,15207.834,130.582,2.9927,5.1927,1.14e-07,8.86e-09,126.1,97.32,95.13,269.99,4.4
52.2,15208.915,112.735,2.8332,5.1927,1.14e-07,9e-09,126.09,97.32,95.12,270.0,4.4
53.3,15209.997,132.724,2.9139,5.1302,1.14e-07,8.96e-09,126.1,97.32,95.12,270.01,4.4
54.4,15211.081,110.434,2.5498,5.3179,1.15e-07,8.91e-09,126.1,97.32,95.13,270.0,4.4
55.5,15212.148,134.031,2.5178,5.2553,1.14e-07,8.98e-09,126.1,97.32,95.13,270.0,4.4
56.5,15213.233,89.682,2.2532,4.7548,1.14e-07,8.81e-09,126.1,97.32,95.13,269.99,4.4
57.6,15214.332,92.955,2.9946,5.1614,1.14e-07,9.19e-09,126.1,97.32,95.12,269.99,4.4
58.7,15215.411,90.222,2.8942,5.5055,1.14e-07,8.81e-09,126.1,97.32,95.12,270.0,4.4
59.8,15216.492,119.59,2.6295,4.8799,1.15e-07,8.69e-09,126.1,97.32,95.12,270.01,4.4
