block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,8716.677,127.798,2.7205,3.5974,1.15e-07,9.32e-09,119.99,96.99,95.0,270.0,3.2
1.1,8717.737,125.288,2.7384,3.6287,1.15e-07,9.27e-09,119.99,97.0,95.0,269.99,3.2
2.2,8718.832,127.431,2.7449,3.6287,1.15e-07,9.33e-09,120.0,97.0,95.0,269.99,3.2
3.4,8719.986,125.889,2.714,3.6287,1.15e-07,9.25e-09,120.0,97.0,95.0,270.01,3.2
4.5,8721.102,128.96,2.7346,3.6287,1.15e-07,9.33e-09,120.01,97.0,94.99,270.01,3.2
5.6,8722.19,127.63,2.7262,3.5974,1.15e-07,9.32e-09,120.01,97.01,95.0,270.0,3.2
6.6,8723.279,127.124,2.7083,3.6287,1.15e-07,9.27e-09,120.01,97.01,95.0,269.99,3.2
7.7,8724.367,126.216,2.7449,3.6287,1.15e-07,9.31e-09,120.01,97.02,95.0,269.99,3.2
8.8,8725.432,127.023,2.6943,3.6287,1.15e-07,9.29e-09,120.01,97.02,95.0,270.0,3.2
9.9,8726.519,129.83,2.7478,3.5974,1.15e-07,9.31e-09,120.01,97.02,95.0,270.0,3.2
11.0,8727.595,128.603,2.7365,3.6287,1.15e-07,9.27e-09,120.01,97.02,95.0,269.99,3.6
12.0,8728.668,128.315,2.7487,3.5974,1.15e-07,9.27e-09,119.99,97.02,95.0,270.0,3.6
13.1,8729.724,125.898,2.7168,3.6287,1.15e-07,9.34e-09,120.0,97.02,95.0,270.0,3.6
14.2,8730.803,128.075,2.7149,3.6287,1.15e-07,9.25e-09,120.0,97.01,94.99,269.99,3.6
15.3,8731.905,128.235,2.7112,3.5974,1.15e-07,9.33e-09,120.0,97.01,95.0,270.0,3.6
16.4,8733.017,127.736,2.7196,3.6599,1.15e-07,9.33e-09,119.99,97.01,95.0,270.0,3.6
17.5,8734.114,127.037,2.7581,3.6287,1.15e-07,9.27e-09,120.0,97.01,95.0,270.01,3.6
18.6,8735.19,127.871,2.7271,3.6287,1.15e-07,9.28e-09,119.99,97.01,95.0,270.0,3.6
19.7,8736.284,127.416,2.7403,3.6599,1.15e-07,9.23e-09,119.99,97.01,95.0,269.99,3.6
20.7,8737.365,127.409,2.7356,3.6287,1.15e-07,9.29e-09,119.99,97.01,95.0,269.99,3.2
21.8,8738.431,126.99,2.713,3.6287,1.15e-07,9.28e-09,120.0,97.01,95.0,270.0,3.2
22.9,8739.511,126.382,2.7224,3.6287,1.15e-07,9.23e-09,120.0,97.01,95.0,270.01,3.2
24.0,8740.589,126.281,2.7027,3.6287,1.15e-07,9.33e-09,120.0,97.01,95.0,270.01,3.2
25.0,8741.677,127.96,2.7346,3.6287,1.15e-07,9.26e-09,120.0,97.02,95.0,270.0,3.2
26.1,8742.739,128.25,2.744,3.6287,1.15e-07,9.28e-09,120.0,97.01,95.0,269.99,3.2
27.2,8743.82,126.771,2.7271,3.6287,1.15e-07,9.3e-09,119.99,97.01,95.0,269.99,3.2
28.3,8744.924,129.201,2.7083,3.6287,1.15e-07,9.29e-09,120.0,97.02,95.0,270.0,3.2
29.4,8746.044,129.58,2.7703,3.6287,1.15e-07,9.3e-09,120.01,97.02,95.0,270.01,3.2
30.5,8747.162,129.559,2.7112,3.6912,1.15e-07,9.37e-09,120.0,97.02,95.0,270.0,3.2
31.6,8748.221,129.285,2.7159,3.6287,1.15e-07,9.28e-09,120.01,97.01,95.0,270.0,3.2
32.7,8749.309,129.564,2.6924,3.6287,1.15e-07,9.28e-09,120.0,97.01,95.0,269.99,3.2
33.8,8750.388,125.915,2.7196,3.6287,1.15e-07,9.25e-09,120.01,97.01,95.0,269.99,3.2
34.8,8751.463,128.706,2.7224,3.6287,1.15e-07,9.25e-09,120.01,97.01,95.0,269.99,3.2
35.9,8752.531,126.721,2.7102,3.5974,1.15e-07,9.2e-09,120.01,97.01,95.0,270.0,3.2
37.0,8753.611,128.097,2.7562,3.6287,1.15e-07,9.27e-09,120.0,97.01,95.0,270.01,3.2
38.1,8754.683,124.88,2.7074,3.6287,1.15e-07,9.24e-09,120.0,97.01,95.0,270.02,3.2
39.1,8755.745,125.686,2.7356,3.6287,1.15e-07,9.3e-09,120.0,97.01,95.0,270.02,3.2
40.2,8756.826,127.438,2.7909,3.6287,1.14e-07,9.31e-09,120.0,97.01,95.0,270.01,3.2
41.3,8757.933,128.748,2.7431,3.5974,1.15e-07,9.31e-09,120.0,97.01,95.0,270.0,3.6
42.4,8759.046,127.589,2.7346,3.6287,1.15e-07,9.26e-09,120.0,97.01,95.0,269.99,3.6
43.5,8760.142,130.472,2.7318,3.6287,1.15e-07,9.27e-09,120.0,97.02,95.0,269.99,3.6
44.6,8761.215,126.168,2.7234,3.5974,1.16e-07,9.28e-09,120.0,97.02,95.0,269.99,3.6
45.7,8762.292,127.742,2.7534,3.6287,1.15e-07,9.31e-09,120.0,97.02,95.0,270.0,3.6
46.7,8763.371,130.553,2.7543,3.5974,1.15e-07,9.31e-09,120.0,97.02,95.0,270.0,3.6
47.8,8764.44,127.81,2.6962,3.5974,1.15e-07,9.32e-09,120.01,97.01,95.0,270.0,3.6
48.9,8765.53,127.429,2.7159,3.6287,1.15e-07,9.27e-09,120.02,97.01,95.0,269.99,3.6
50.0,8766.609,127.65,2.7243,3.6287,1.15e-07,9.25e-09,120.01,97.01,95.0,269.99,3.6
51.1,8767.689,128.409,2.7421,3.6287,1.15e-07,9.22e-09,120.0,97.01,95.0,269.99,3.2
52.1,8768.775,128.259,2.7121,3.5974,1.15e-07,9.26e-09,120.0,97.01,95.0,270.0,3.2
53.2,8769.838,127.998,2.7421,3.5974,1.15e-07,9.25e-09,120.0,97.01,95.0,270.0,3.2
54.3,8770.964,128.876,2.7093,3.6287,1.15e-07,9.29e-09,120.0,97.01,95.0,270.0,3.2
55.5,8772.095,127.932,2.7393,3.6287,1.15e-07,9.28e-09,120.01,97.01,95.0,270.0,3.2
56.6,8773.195,127.919,2.7196,3.6287,1.15e-07,9.32e-09,120.0,97.01,95.0,269.99,3.2
57.6,8774.276,130.743,2.7299,3.7225,1.14e-07,9.34e-09,120.01,97.01,95.0,269.99,3.2
58.7,8775.336,128.979,2.7393,3.6287,1.15e-07,9.28e-09,120.0,97.01,95.0,269.99,3.2
59.8,8776.419,128.398,2.7215,3.6287,1.15e-07,9.27e-09,120.0,97.01,95.0,270.0,3.2
