block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,2996.805,136.666,3.0847,4.1292,1.11e-07,6.09e-09,123.36,102.09,100.12,270.0,3.2
1.0,2997.838,143.01,3.0856,4.2856,1.11e-07,6.13e-09,123.36,102.08,100.11,269.99,3.2
2.1,2998.869,138.65,3.0697,3.8476,1.11e-07,6.09e-09,123.36,102.08,100.12,270.0,3.2
3.1,2999.931,143.032,3.0837,4.3481,1.11e-07,6.13e-09,123.36,102.08,100.12,270.0,3.2
4.2,3000.967,133.86,3.0612,4.5671,1.11e-07,6.21e-09,123.35,102.07,100.12,270.0,3.2
5.2,3002.021,137.759,3.0931,4.5045,1.11e-07,6.23e-09,123.35,102.07,100.12,270.0,3.2
6.2,3003.052,139.854,3.0894,4.5045,1.11e-07,6.13e-09,123.36,102.07,100.12,270.0,3.2
7.3,3004.128,136.069,3.0865,4.2543,1.11e-07,6.08e-09,123.36,102.06,100.12,269.99,3.2
8.4,3005.202,142.82,3.1063,4.5358,1.11e-07,6.12e-09,123.36,102.06,100.13,269.99,3.2
9.5,3006.255,140.204,3.0734,4.1292,1.11e-07,6.2e-09,123.35,102.07,100.12,270.0,3.2
10.5,3007.321,140.106,3.0687,4.2543,1.11e-07,6.21e-09,123.36,102.07,100.12,270.01,3.2
11.6,3008.357,143.558,3.0837,4.3168,1.11e-07,6.18e-09,123.35,102.07,100.12,270.0,3.2
12.6,3009.409,142.376,3.0697,4.1292,1.11e-07,6.21e-09,123.35,102.07,100.12,270.01,3.2
13.6,3010.443,148.487,3.0903,4.0979,1.11e-07,6.14e-09,123.35,102.07,100.12,270.0,3.2
14.7,3011.495,138.276,3.0584,3.8163,1.11e-07,6.08e-09,123.35,102.08,100.12,270.0,3.2
15.7,3012.533,134.513,3.0847,4.0353,1.11e-07,6.14e-09,123.35,102.08,100.12,270.0,3.2
16.8,3013.567,135.831,3.0969,4.3481,1.11e-07,6.19e-09,123.35,102.07,100.12,270.0,3.2
17.8,3014.615,143.617,3.0621,3.7538,1.11e-07,6.21e-09,123.35,102.08,100.12,270.0,3.2
18.9,3015.655,140.643,3.0462,4.0353,1.11e-07,6.13e-09,123.35,102.08,100.12,269.99,3.2
19.9,3016.706,138.815,3.0865,4.4733,1.11e-07,6.07e-09,123.35,102.07,100.12,269.99,3.2
20.9,3017.746,138.87,3.0612,4.3168,1.11e-07,6.11e-09,123.36,102.07,100.12,269.99,3.2
22.0,3018.792,140.144,3.0697,4.3794,1.11e-07,6.18e-09,123.36,102.07,100.13,270.01,3.2
23.0,3019.83,136.514,3.0856,4.1604,1.11e-07,6.22e-09,123.35,102.07,100.12,270.01,3.2
24.1,3020.861,147.265,3.0819,4.4107,1.11e-07,6.18e-09,123.35,102.07,100.12,269.99,3.2
25.1,3021.918,139.542,3.0481,3.6287,1.11e-07,6.21e-09,123.36,102.07,100.12,269.99,3.2
26.2,3022.959,142.019,3.0828,4.2856,1.12e-07,6.13e-09,123.36,102.07,100.12,269.99,3.2
27.2,3024.01,141.783,3.1063,4.5358,1.11e-07,6.06e-09,123.36,102.07,100.12,269.99,3.2
28.2,3025.053,141.073,3.0969,4.4733,1.11e-07,6.12e-09,123.36,102.07,100.12,270.0,3.2
29.3,3026.12,143.262,3.08,4.223,1.11e-07,6.17e-09,123.35,102.07,100.12,270.0,3.2
30.4,3027.197,141.838,3.0884,4.0666,1.11e-07,6.19e-09,123.36,102.07,100.13,270.0,3.2
31.4,3028.254,134.404,3.0753,4.4733,1.11e-07,6.13e-09,123.36,102.07,100.12,270.0,3.2
32.5,3029.326,143.136,3.0565,4.0979,1.11e-07,6.08e-09,123.36,102.08,100.12,269.99,3.2
33.6,3030.357,136.222,3.0959,4.2856,1.11e-07,6.11e-09,123.35,102.08,100.12,270.0,3.2
34.6,3031.413,142.673,3.0856,4.1604,1.11e-07,6.06e-09,123.35,102.08,100.12,270.0,3.2
35.6,3032.452,134.401,3.0987,4.3168,1.11e-07,6.11e-09,123.35,102.07,100.12,270.0,3.2
36.7,3033.507,138.54,3.1091,4.6297,1.11e-07,6.18e-09,123.35,102.07,100.12,270.0,3.2
37.7,3034.539,138.182,3.0481,4.2856,1.11e-07,6.19e-09,123.35,102.07,100.12,269.99,3.2
38.8,3035.596,136.976,3.0978,4.3168,1.11e-07,6.12e-09,123.35,102.07,100.12,269.99,3.2
39.8,3036.629,140.831,3.0912,4.1917,1.11e-07,6.06e-09,123.35,102.07,100.12,270.0,3.2
40.9,3037.662,137.534,3.0884,4.3481,1.11e-07,6.1e-09,123.35,102.07,100.12,270.0,3.2
41.9,3038.719,143.15,3.0678,4.3168,1.11e-07,6.18e-09,123.36,102.07,100.12,270.01,3.2
42.9,3039.754,142.139,3.1063,4.4733,1.11e-07,6.19e-09,123.36,102.07,100.12,269.99,3.2
44.0,3040.808,141.678,3.0997,4.2856,1.12e-07,6.12e-09,123.35,102.07,100.12,269.99,3.2
45.0,3041.843,139.705,3.0931,4.3481,1.11e-07,6.06e-09,123.35,102.07,100.12,269.99,3.2
46.1,3042.912,140.468,3.0847,4.223,1.11e-07,6.1e-09,123.36,102.07,100.13,270.0,3.2
47.1,3043.947,137.566,3.0715,4.223,1.11e-07,6.06e-09,123.36,102.07,100.12,270.01,3.2
48.2,3044.995,137.028,3.1016,4.442,1.11e-07,6.11e-09,123.36,102.08,100.12,270.01,3.2
49.2,3046.031,138.543,3.0931,4.223,1.11e-07,6.16e-09,123.35,102.07,100.12,270.0,3.2
50.3,3047.062,136.356,3.0678,4.1292,1.11e-07,6.17e-09,123.36,102.07,100.12,270.0,3.2
