block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,5075.508,131.596,2.7581,3.3158,1.11e-07,5.96e-09,127.03,103.11,106.83,270.0,2.4
1.1,5076.591,130.516,2.7956,3.5661,1.11e-07,6.01e-09,127.03,103.11,106.82,270.0,2.4
2.2,5077.657,132.571,2.76,3.3784,1.11e-07,6.04e-09,127.02,103.11,106.82,270.0,2.4
3.3,5078.729,131.56,2.7966,3.5035,1.11e-07,5.98e-09,127.03,103.11,106.83,270.0,2.4
4.3,5079.807,129.79,2.7637,3.3784,1.1e-07,5.94e-09,127.03,103.11,106.82,269.99,2.4
5.4,5080.887,131.951,2.8097,3.5974,1.11e-07,5.96e-09,127.03,103.11,106.83,269.99,2.4
6.5,5081.941,131.292,2.7525,3.5035,1.11e-07,6.03e-09,127.03,103.11,106.83,270.0,2.0
7.6,5083.024,130.223,2.7806,3.3784,1.1e-07,5.95e-09,127.03,103.11,106.83,270.0,2.0
8.6,5084.104,132.114,2.8106,3.4097,1.11e-07,6.02e-09,127.03,103.11,106.83,269.99,2.0
9.7,5085.199,130.801,2.7693,3.441,1.11e-07,6.06e-09,127.03,103.11,106.83,269.99,2.0
10.8,5086.3,129.974,2.7553,3.441,1.11e-07,5.97e-09,127.03,103.11,106.83,269.99,2.0
12.0,5087.416,131.178,2.8275,3.441,1.11e-07,5.92e-09,127.02,103.11,106.83,270.0,2.0
13.1,5088.518,131.785,2.7496,3.3784,1.11e-07,5.96e-09,127.02,103.11,106.83,270.01,2.0
14.1,5089.6,131.675,2.7675,3.441,1.1e-07,5.93e-09,127.02,103.11,106.83,270.0,2.0
15.2,5090.655,132.025,2.7581,3.4722,1.11e-07,5.95e-09,127.02,103.11,106.83,269.99,2.0
16.3,5091.734,131.811,2.7693,3.3471,1.11e-07,6e-09,127.02,103.11,106.83,269.99,2.4
17.3,5092.812,130.262,2.7647,3.4097,1.11e-07,6.05e-09,127.01,103.11,106.83,269.99,2.4
18.4,5093.889,131.489,2.8088,3.3784,1.11e-07,5.97e-09,127.01,103.11,106.83,270.0,2.4
19.5,5094.949,131.178,2.7966,3.3784,1.11e-07,6.03e-09,127.01,103.11,106.83,270.01,2.4
20.6,5096.04,131.928,2.7937,3.3471,1.11e-07,5.98e-09,127.0,103.11,106.83,270.01,2.4
21.7,5097.122,130.213,2.835,3.441,1.11e-07,5.92e-09,127.0,103.11,106.83,270.0,2.4
22.7,5098.202,130.987,2.7984,3.4097,1.11e-07,5.94e-09,127.0,103.11,106.83,269.99,2.4
23.8,5099.3,129.488,2.7787,3.5661,1.11e-07,5.98e-09,127.02,103.11,106.83,269.99,2.4
25.0,5100.416,130.448,2.7759,3.3784,1.11e-07,6.02e-09,127.01,103.11,106.83,270.0,2.4
26.1,5101.518,130.718,2.7778,3.441,1.11e-07,5.99e-09,127.0,103.11,106.83,270.0,2.0
27.1,5102.598,130.015,2.775,3.3784,1.11e-07,6.02e-09,127.01,103.11,106.83,270.0,2.0
28.2,5103.662,131.509,2.7787,3.4097,1.11e-07,5.96e-09,127.01,103.11,106.83,270.0,2.0
29.3,5104.741,130.575,2.7459,3.3784,1.11e-07,5.93e-09,127.01,103.11,106.83,269.99,2.0
30.4,5105.825,130.085,2.7543,3.5035,1.11e-07,5.93e-09,127.02,103.11,106.83,270.0,2.0
31.4,5106.901,132.397,2.7769,3.4722,1.1e-07,5.99e-09,127.01,103.11,106.83,269.99,2.0
32.5,5107.957,131.553,2.8097,3.4097,1.11e-07,5.93e-09,127.02,103.11,106.83,270.01,2.0
33.6,5109.036,131.703,2.8557,3.3784,1.11e-07,5.97e-09,127.02,103.11,106.83,270.0,2.0
34.7,5110.118,131.325,2.8257,3.3784,1.1e-07,6.02e-09,127.01,103.11,106.83,269.99,2.0
35.7,5111.2,128.554,2.76,3.3784,1.11e-07,5.95e-09,127.02,103.11,106.83,269.99,2.0
36.8,5112.258,132.18,2.7956,3.5974,1.11e-07,5.9e-09,127.02,103.11,106.83,269.99,2.0
37.9,5113.388,130.896,2.774,3.3784,1.11e-07,5.93e-09,127.02,103.11,106.83,270.01,2.0
39.1,5114.517,131.429,2.8472,3.4097,1.11e-07,5.91e-09,127.01,103.11,106.83,270.01,2.0
40.1,5115.601,130.258,2.7975,3.3784,1.11e-07,5.92e-09,127.02,103.11,106.83,270.01,2.0
41.2,5116.678,129.797,2.7872,3.3784,1.11e-07,5.97e-09,127.01,103.11,106.83,269.99,2.0
42.3,5117.739,130.177,2.8303,3.4097,1.11e-07,6e-09,127.01,103.11,106.83,269.99,2.0
43.4,5118.826,129.774,2.7994,3.3784,1.11e-07,5.96e-09,127.01,103.11,106.83,269.99,2.0
44.4,5119.903,127.829,2.8088,3.4722,1.11e-07,5.9e-09,127.01,103.11,106.83,269.99,2.0
45.5,5120.995,130.299,2.7581,3.441,1.11e-07,5.96e-09,127.01,103.11,106.83,270.01,2.0
46.6,5122.058,129.724,2.7891,3.5035,1.11e-07,5.89e-09,127.01,103.11,106.83,270.01,2.0
47.7,5123.156,130.698,2.7844,3.3784,1.11e-07,5.91e-09,127.0,103.11,106.83,270.0,2.0
48.8,5124.244,129.733,2.7806,3.3784,1.11e-07,5.98e-09,127.01,103.11,106.83,269.99,2.0
