block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.1,133.651,103.826,2.4475,2.5338,1.14e-07,5.51e-09,124.82,101.95,97.74,269.99,4.0
1.2,134.789,105.096,2.4315,2.4712,1.13e-07,5.54e-09,124.82,101.95,97.74,269.99,4.0
2.3,135.888,104.844,2.4231,2.6276,1.14e-07,5.62e-09,124.82,101.95,97.75,270.01,4.0
3.4,136.948,103.695,2.4409,2.6589,1.14e-07,5.54e-09,124.82,101.95,97.75,270.01,4.0
4.5,138.036,102.713,2.4831,2.6276,1.14e-07,5.61e-09,124.82,101.95,97.75,270.01,4.0
5.6,139.105,104.905,2.4597,2.5651,1.14e-07,5.58e-09,124.81,101.96,97.75,270.0,4.0
6.6,140.188,105.068,2.4306,2.4712,1.14e-07,5.52e-09,124.81,101.95,97.75,270.0,4.0
7.7,141.247,101.44,2.4202,2.5338,1.14e-07,5.5e-09,124.81,101.96,97.74,269.99,4.4
8.8,142.317,102.447,2.4362,2.5338,1.14e-07,5.56e-09,124.81,101.95,97.74,269.99,4.4
9.9,143.392,101.931,2.47,2.7528,1.14e-07,5.61e-09,124.81,101.95,97.74,270.0,4.4
10.9,144.456,102.522,2.4841,2.4712,1.14e-07,5.54e-09,124.81,101.95,97.74,270.01,4.4
12.0,145.543,102.821,2.4306,2.6276,1.14e-07,5.61e-09,124.82,101.95,97.75,270.0,4.4
13.1,146.627,103.784,2.4306,2.7215,1.14e-07,5.59e-09,124.82,101.95,97.75,269.99,4.4
14.2,147.701,104.322,2.424,2.7528,1.14e-07,5.52e-09,124.82,101.95,97.75,270.0,4.4
15.2,148.78,103.787,2.4869,2.5025,1.14e-07,5.52e-09,124.82,101.95,97.75,270.0,4.4
16.3,149.85,103.748,2.4812,2.7528,1.14e-07,5.53e-09,124.82,101.95,97.75,270.0,4.4
17.4,150.93,102.275,2.4747,2.6589,1.14e-07,5.61e-09,124.82,101.95,97.75,270.0,4.0
