block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,2949.838,126.363,2.8529,4.3168,1.08e-07,6.42e-09,125.36,107.01,106.83,270.0,2.4
1.1,2950.915,132.124,2.8294,4.2856,1.08e-07,6.32e-09,125.37,107.01,106.82,270.02,2.4
2.2,2951.997,130.088,2.8829,4.2856,1.08e-07,6.29e-09,125.36,107.01,106.83,270.01,2.4
3.3,2953.079,133.193,2.8848,4.3168,1.08e-07,6.33e-09,125.36,107.01,106.83,270.0,2.4
4.3,2954.141,131.422,2.8791,4.3168,1.08e-07,6.3e-09,125.36,107.01,106.83,269.99,2.4
5.4,2955.219,131.788,2.8529,4.3168,1.08e-07,6.34e-09,125.36,107.02,106.83,269.99,2.4
6.5,2956.297,128.987,2.8472,4.3168,1.08e-07,6.42e-09,125.37,107.02,106.83,269.99,2.4
7.6,2957.375,134.101,2.8613,4.2856,1.08e-07,6.41e-09,125.36,107.02,106.83,270.0,2.4
8.6,2958.436,128.374,2.8641,4.2543,1.08e-07,6.34e-09,125.36,107.01,106.82,270.0,2.4
9.7,2959.521,129.569,2.8576,4.3168,1.08e-07,6.29e-09,125.36,107.02,106.82,270.01,2.4
10.8,2960.64,128.902,2.8773,4.2543,1.08e-07,6.35e-09,125.36,107.02,106.83,269.99,2.4
12.0,2961.784,130.05,2.8547,4.3168,1.08e-07,6.28e-09,125.37,107.01,106.83,269.99,2.4
13.1,2962.872,130.351,2.8472,4.2856,1.09e-07,6.34e-09,125.37,107.01,106.83,270.0,2.4
14.1,2963.938,128.865,2.882,4.2856,1.09e-07,6.41e-09,125.37,107.01,106.83,270.01,2.4
15.2,2965.019,128.988,2.8482,4.2856,1.09e-07,6.43e-09,125.37,107.01,106.83,270.01,2.4
16.3,2966.107,129.539,2.8557,4.2543,1.08e-07,6.34e-09,125.37,107.01,106.83,270.0,2.4
17.4,2967.189,127.048,2.8632,4.2856,1.08e-07,6.44e-09,125.37,107.01,106.83,269.99,2.4
18.5,2968.278,131.618,2.8669,4.2856,1.09e-07,6.35e-09,125.37,107.01,106.83,269.99,2.4
19.5,2969.357,130.471,2.8604,4.2856,1.08e-07,6.29e-09,125.37,107.01,106.83,270.0,2.4
20.6,2970.419,128.964,2.8707,4.3168,1.08e-07,6.34e-09,125.37,107.01,106.83,270.0,2.4
21.7,2971.504,128.817,2.8651,4.2856,1.08e-07,6.43e-09,125.37,107.01,106.83,270.01,2.4
22.8,2972.589,126.836,2.8623,4.2856,1.09e-07,6.42e-09,125.37,107.01,106.83,269.99,2.4
23.9,2973.708,129.905,2.8801,4.2856,1.08e-07,6.43e-09,125.36,107.01,106.83,269.99,2.4
25.0,2974.81,125.831,2.8791,4.2856,1.08e-07,6.43e-09,125.36,107.02,106.83,269.99,2.8
26.1,2975.887,132.18,2.8754,4.2543,1.08e-07,6.35e-09,125.36,107.02,106.83,270.0,2.8
27.2,2976.965,129.671,2.8641,4.2856,1.09e-07,6.3e-09,125.37,107.01,106.83,270.01,2.8
28.2,2978.035,132.006,2.8557,4.2856,1.08e-07,6.34e-09,125.36,107.01,106.83,270.01,2.8
29.3,2979.111,134.466,2.866,4.2856,1.09e-07,6.41e-09,125.37,107.01,106.83,270.0,2.8
30.4,2980.19,131.679,2.8791,4.2856,1.09e-07,6.34e-09,125.37,107.01,106.83,269.98,2.8
31.5,2981.276,130.869,2.8716,4.2856,1.08e-07,6.44e-09,125.36,107.01,106.83,269.99,2.8
32.5,2982.342,132.854,2.8604,4.3168,1.09e-07,6.42e-09,125.37,107.01,106.83,269.99,2.8
33.6,2983.424,130.617,2.8857,4.2856,1.08e-07,6.34e-09,125.37,107.01,106.83,270.01,2.8
34.7,2984.503,134.64,2.8538,4.2856,1.09e-07,6.3e-09,125.37,107.01,106.83,270.0,2.8
35.8,2985.592,129.744,2.8745,4.2856,1.08e-07,6.36e-09,125.37,107.01,106.83,269.99,2.4
36.9,2986.72,128.937,2.881,4.2856,1.08e-07,6.3e-09,125.37,107.01,106.83,269.99,2.4
38.0,2987.822,130.894,2.8791,4.3168,1.08e-07,6.36e-09,125.36,107.01,106.83,269.99,2.4
39.1,2988.913,130.522,2.8576,4.2543,1.08e-07,6.43e-09,125.37,107.01,106.83,270.0,2.4
40.2,2989.982,131.659,2.8716,4.2856,1.08e-07,6.42e-09,125.37,107.01,106.83,270.01,2.4
41.2,2991.061,128.08,2.8641,4.2856,1.08e-07,6.38e-09,125.37,107.02,106.83,270.0,2.4
42.3,2992.124,131.025,2.8801,4.2856,1.08e-07,6.3e-09,125.37,107.01,106.83,269.99,2.4
43.4,2993.204,131.46,2.8735,4.3168,1.08e-07,6.35e-09,125.36,107.02,106.83,269.99,2.4
44.5,2994.28,133.894,2.882,4.3168,1.08e-07,6.3e-09,125.37,107.02,106.82,269.99,2.4
45.5,2995.36,128.34,2.8838,4.2856,1.08e-07,6.36e-09,125.37,107.02,106.83,270.0,2.4
